"sd_id","sd_model_name","sd_model_code","sd_maker","sd_release_date","sd_os","sd_sale_type","sd_display_cm","sd_display_in","sd_display_type","sd_display_resolution","sd_display_ppi","sd_display_hz","sd_display_aspect_ratio","sd_display_size","sd_display_width","sd_display_height","sd_display_hdr","sd_ap_type","sd_core","sd_core_clock","sd_gpu_core","sd_npu_dsp","sd_sensor_hub","sd_modem","sd_ram","sd_Builtin_memory","sd_storage","sd_external_memory","sd_5g","sd_4g","sd_wifi","sd_bluetooth","sd_satellite","sd_usim_type","sd_dual_usim","sd_camera_type","sd_back_camera","sd_front_camera","sd_camera_resolution","sd_flash","sd_photo_resolution","sd_front_resolution","sd_front_video_resolution","sd_camera_aperture","sd_hand_tremor_correction","sd_hand_tremor_protection","sd_camera_flash","sd_hdr_filming","sd_auto_hdr","sd_optical_zoom","sd_geotag","sd_laser_auto_focus","sd_auto_focus","sd_out_focus","sd_touch_focus","sd_panorama","sd_tof","sd_night_photography","sd_iphone_terminal","sd_speaker","sd_high_sound_quality","sd_sound_technology","sd_fingerprint","sd_face","sd_iris","sd_voice","sd_ai","sd_payment","sd_touch_pen","sd_dustproof","cs_etc","cs_charging_terminal","sd_battery","sd_battery_type1","sd_battery_type2","sd_battery_type3","sd_battery_terminal","sd_fast_charge","sd_wireless_charge","sd_color","sd_width","cs_height","cs_thickness","cs_weight"
"82","갤럭시M style","SHW-M340","samsung",\n,"안드로이드2.3 진저브레드","가개통/중고","10.16","4","AMOLED","800x480",\n,\n,\n,\n,\n,\n,\n,\n,"싱글(1)코어","1.0GHz",\n,\n,\n,\n,"512MB","4GB","eMMC","MicroSD",\n,"3G",\n,"v3.0",\n,\n,\n,\n,"300~499만",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"1000~1999",\n,\n,"배터리탈착형",\n,\n,\n,\n,"50~80","100~150","7~10","100~150"
"83","갤럭시진2","SM-A202","samsung",\n,"안드로이드9.0 파이","가개통/중고","14.73","5.8","TFT-LCD","1560x720","296",\n,"19.5:9","80.40%",\n,\n,\n,"엑시노스7884","옥타(8)코어","1.6GHz+1.35GHz","Mali G71",\n,\n,\n,"3GB","32GB",\n,"microSD:최대512GB",\n,"LTE-A Cat.12","802.11 b/g/n","v5.0",\n,"나노유심",\n,\n,"1,300만+500만","800만","1080p(FHD),60fps",\n,\n,\n,\n,"F1.9",\n,\n,"○","○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm","모노(1개)",\n,\n,"지문인식","얼굴인식",\n,\n,"구글 어시스턴트",\n,\n,\n,\n,"USB타입C","3000",\n,\n,"배터리일체형","최대15W","고속충전지원",\n,\n,"69.5","147.2","8.3","142"
"84","갤럭시 온7 프라임","SM-G611","samsung",\n,"안드로이드7.1 누가","가개통/중고","13.97","5.5","LCD","1920x1080","400",\n,"16:09",\n,\n,\n,\n,"엑시노스 7870","옥타(8)코어","1.6GHz","Mali T830",\n,\n,\n,"3GB","32GB","eMMC","MicroSD",\n,"LTE Cat.4","802.11 a/b/g/n",\n,\n,"나노유심",\n,\n,"1,300만","1,300만",\n,\n,\n,\n,\n,"F1.9",\n,\n,"○",\n,\n,\n,\n,\n,"○",\n,"○",\n,\n,\n,"3.5mm","모노(1개)",\n,\n,"지문인식",\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","3300",\n,\n,"배터리일체형",\n,\n,\n,\n,"75","151.7","8","170"
"85","삼성 마스터폰 ","SM-B510","samsung",\n,"기타","가개통/중고",\n,\n,"LCD",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3G",\n,"v2.0",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","~1999",\n,\n,"배터리탈착형",\n,\n,\n,\n,"57.5","112.5","14.8","119"
"86","삼성 마스터폰 ","SM-B510","samsung",\n,"기타","공기계-새제품",\n,\n,"LCD",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3G",\n,"v2.0",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","~1999",\n,\n,"배터리탈착형",\n,\n,\n,\n,"57.5","112.5","14.8","119"
"87","G8 ThinQ","LM-G820","lg",\n,"안드로이드9.0 파이","가개통/중고","15.49","6.1","OLED","3120x1440","564","60Hz","19.5:9","83.50%",\n,\n,"HDR10","스냅드래곤855","옥타(8)코어","2.8GHz+2.4GHz+1.78GHz","Adreno 640",\n,\n,\n,"6GB","128GB","UFS2.1","microSD:최대2TB",\n,"LTE-A Cat.19","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,600만+1,200만+1,200만","800만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(듀얼OIS)","○","○","○",\n,"○",\n,"○","○","○",\n,\n,"○",\n,"3.5mm","스테레오(2개)","32비트 음원재생",\n,"지문인식(후면)","얼굴인식",\n,\n,"구글 어시스턴트","LG페이",\n,"IP68",\n,"USB타입C","3500",\n,\n,"배터리일체형","최대18W","퀵차지3.0","Qi무선충전: 최대15W",\n,"71.8","151.9","8.4","167"
"88","G7 ThinQ","LM-G710","lg",\n,"안드로이드8.0 오레오","가개통/중고","15.49","6.1","IPS-LCD","3120x1440","564","60Hz","19.5:9","82.60%",\n,\n,"HDR10","스냅드래곤845","옥타(8)코어","2.8GHz+1.7GHz","Adreno 630",\n,\n,\n,"4GB","64GB","UFS2.1","microSD:최대2TB",\n,"LTE-A Cat.18","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,600만+1,600만","800만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.6","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○","○","○","○","○",\n,\n,\n,"3.5mm","모노(1개)","32비트 음원재생",\n,"지문인식(후면)",\n,\n,\n,"구글 어시스턴트","LG페이",\n,"IP68",\n,"USB타입C","3000",\n,\n,"배터리일체형","최대18W","퀵차지4.0","Qi무선충전: 최대15W",\n,"71.9","153.2","7.9","162"
"89","G7 ThinQ Plus","LM-G710P","LG전자 																			",\n,"안드로이드8.0 오레오","가개통/중고","15.49","6.1","IPS-LCD","3120x1440","564","60Hz","19.5:9","82.60%",\n,\n,"HDR10","스냅드래곤845","옥타(8)코어","2.8GHz+1.7GHz","Adreno 630",\n,\n,\n,"6GB","128GB","UFS2.1","microSD:최대2TB",\n,"LTE-A Cat.18","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,600만+1,600만","800만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.6","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○","○","○","○","○",\n,\n,\n,"3.5mm","모노(1개)","32비트 음원재생",\n,"지문인식",\n,\n,\n,"구글 어시스턴트","LG페이",\n,"IP68",\n,"USB타입C","3000",\n,\n,"배터리일체형","최대18W","퀵차지4.0","Qi무선충전: 최대15W",\n,"71.9","153.2","7.9","162"
"90","G5","LG-F700","lg",\n,"안드로이드6.0 마쉬멜로우","가개통/중고","13.46","5.3","IPS-LCD","2560x1440","554",\n,"16:09","80.80%",\n,\n,\n,"스냅드래곤820","쿼드(4)코어","2.2GHz","Adreno 530",\n,\n,\n,"4GB","32GB","UFS","microSD:최대256GB",\n,"LTE-A Cat.12","802.11 a/b/g/n/ac","v4.2",\n,"나노유심",\n,\n,"1,600만 / 800만","800만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○","○",\n,\n,"○",\n,\n,\n,"3.5mm",\n,"32비트 음원재생",\n,"지문인식",\n,\n,\n,\n,\n,\n,\n,\n,"USB타입C","2800",\n,\n,"배터리탈착형",\n,"퀵차지3.0",\n,\n,"73.9","149.4","7.7","159"
"91","G4","LG-F500","lg",\n,"안드로이드5.1 롤리팝","가개통/중고","13.97","5.5","IPS-LCD","2560x1440","534",\n,\n,\n,\n,\n,\n,"스냅드래곤808","헥사(6)코어","1.8GHz","Adreno 418",\n,\n,\n,"3GB","32GB","eMMC","microSD:최대256GB",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v4.0",\n,"마이크로유심",\n,\n,"1,600만","800만","2160p(UHD),30fps",\n,\n,\n,\n,\n,"광학식손떨림보정(OIS)","○","○",\n,\n,\n,"○","○","○","○","○",\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3000",\n,\n,"배터리탈착형",\n,"퀵차지2.0",\n,\n,"75.3","149.1","8.9",\n
"92","G3","LG-F400","lg",\n,"안드로이드4.4 킷캣","가개통/중고","13.97","5.5","IPS-LCD","2560x1440","538",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","2.5GHz",\n,\n,\n,\n,"3GB","32GB","eMMC","microSD:최대128GB",\n,"LTE-A","802.11 a/b/g/n/ac","v4.0 apt-X",\n,"마이크로유심",\n,\n,"1300만","210만","2160p(UHD),30fps",\n,\n,\n,\n,\n,"광학식손떨림보정(OIS)","○","○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,\n,"3.5mm","스테레오(2개)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3000",\n,\n,"배터리탈착형",\n,\n,\n,\n,"74.6","146.3","8.9","149"
"93","G3 Beat","LG-F470","lg",\n,"안드로이드4.4 킷캣","가개통/중고","12.7","5","IPS-LCD","1280x720","294",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.2GHz",\n,\n,\n,\n,"1GB","8GB","eMMC","MicroSD",\n,"LTE-A","802.11 b/g/n","v4.0",\n,"마이크로유심",\n,\n,"800만","130만",\n,\n,\n,\n,\n,\n,"광학식손떨림보정(OIS)","○","○",\n,\n,\n,\n,"○","○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2610",\n,\n,"배터리탈착형",\n,\n,\n,\n,"69.6","137.7","10.3","134"
"94","G3 Screen","LG-F490","lg",\n,\n,"가개통/중고","14.99","5.9","IPS-LCD","1920x1080","373",\n,\n,\n,\n,\n,\n,\n,"옥타(8)코어","1.5GHz",\n,\n,\n,\n,"2GB","32GB","eMMC","MicroSD",\n,"LTE Cat.4","802.11 b/g/n",\n,\n,"마이크로유심",\n,\n,"1,300만","210만",\n,\n,\n,\n,\n,\n,"광학식손떨림보정(OIS)","○",\n,\n,\n,\n,\n,"○","○",\n,\n,\n,\n,\n,"3.5mm","모노(1개)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3000",\n,\n,\n,\n,\n,\n,\n,"81.8","157.8","9.5","182"
"95","G3.Cat6","LG-F460","lg",\n,"안드로이드4.4 킷캣","가개통/중고","13.97","5.5","IPS-LCD","2560x1440","538",\n,\n,\n,\n,\n,\n,"스냅드래곤805","쿼드(4)코어","2.5GHz","Adreno 420",\n,\n,\n,"3GB","32GB","eMMC","MicroSD",\n,"LTE-A Cat.9","802.11 a/b/g/n/ac","v4.0 apt-X",\n,"마이크로유심",\n,\n,"1300만","210만","2160p(UHD),30fps",\n,\n,\n,\n,\n,"광학식손떨림보정(OIS)","○","○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,\n,"3.5mm","스테레오(2개)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3000",\n,\n,"배터리탈착형",\n,\n,\n,\n,"74.6","146.3","8.9","149"
"96","G2","LG-F320","lg",\n,"안드로이드4.2 젤리빈","가개통/중고","13.22","5.2",\n,"1920x1080","423",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","2.2GHz",\n,\n,\n,\n,"2GB","32GB","eMMC","MicroSD",\n,"LTE-A","802.11 a/b/g/n/ac","v4.0",\n,"마이크로유심",\n,\n,"1300만","210만","1080p(FHD),30fps",\n,\n,\n,\n,\n,"손떨림보정","○",\n,"○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2610",\n,\n,"배터리탈착형",\n,\n,\n,\n,"70.9","138.5","8.9","140"
"97","Gx2","LG-F430","lg",\n,"안드로이드4.4 킷캣","가개통/중고","14.47","5.7","IPS-LCD",\n,\n,\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.2GHz",\n,\n,\n,\n,"1.5GB","8GB","eMMC",\n,\n,"LTE-A",\n,"v4.0",\n,"마이크로유심",\n,\n,\n,"VGA",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","3200",\n,\n,"배터리탈착형",\n,\n,\n,\n,"79.2","152.1","9.1","165"
"98","Gx","LG-F310","lg",\n,"안드로이드4.2 젤리빈","가개통/중고","13.97","5.5","IPS-LCD","1920x1080","400~500",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.7GHz",\n,\n,\n,\n,"3GB","32GB",\n,"MicroSD",\n,\n,\n,"v4.0",\n,\n,\n,\n,"1,200~1,499만","200~300만","720p(HD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","~4500",\n,\n,\n,\n,\n,\n,\n,"50~80","150~200","7~10","150~200"
"99","G Flex","LG-F340","lg",\n,\n,"가개통/중고","15.24","6","P-OLED","1280x720","244",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","2.3GHz",\n,\n,\n,\n,"2GB","32GB",\n,"MicroSD 미지원",\n,"LTE-A","802.11 a/b/g/n/ac","v4.0",\n,"마이크로유심",\n,\n,"1300만","210만",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"~4500",\n,\n,"배터리일체형",\n,\n,\n,\n,"81.6","160.5","7.9","177"
"100","Stylus 2","LG-F720","lg",\n,"안드로이드6.0 마쉬멜로우","가개통/중고","14.47","5.7",\n,"1280x720","255",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.2GHz",\n,\n,\n,\n,"2GB","16GB","eMMC","MicroSD",\n,"LTE Cat.4","802.11 b/g/n","v4.1",\n,"나노유심",\n,\n,"1,300만","800만",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,"스타일러스 펜 방식",\n,\n,\n,"~3500",\n,\n,"배터리탈착형",\n,\n,\n,\n,"79.6","155","7.4","145"
"101","G 스타일로","LG-F560","lg",\n,"안드로이드5.0 롤리팝","가개통/중고","14.47","5.7","IPS-LCD","1280x720","258",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.2GHz",\n,\n,\n,\n,"1.5GB","8GB","eMMC","MicroSD",\n,"LTE","802.11 b/g/n","v4.1",\n,"마이크로유심",\n,\n,"800만","500만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","3000",\n,\n,"배터리탈착형",\n,\n,\n,\n,"79.2","154.3","9.6","163"
"102","K10","LG-F670","lg",\n,"안드로이드5.1 롤리팝","가개통/중고","13.46","5.3","IPS-LCD","1280x720","277",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.2GHz",\n,\n,\n,\n,"1.5GB","16GB","eMMC","MicroSD",\n,"LTE-A","802.11 b/g/n","v4.1",\n,\n,\n,\n,"1,300만","500만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"○",\n,"○",\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2300",\n,\n,"배터리탈착형",\n,\n,\n,\n,"74.8","146.6","8.8","140"
"103","클래스","LG-F620","lg",\n,"안드로이드5.1 롤리팝","가개통/중고","12.7","5",\n,\n,"294",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.2GHz",\n,\n,\n,\n,"2GB","16GB","eMMC","MicroSD",\n,"LTE","802.11 b/g/n","v4.0",\n,"나노유심",\n,\n,"1,300만","800만",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2050",\n,\n,"배터리일체형",\n,\n,\n,\n,"71.8","142","7.4","147"
"104","Q9","LM-Q925","lg",\n,"안드로이드8.1 오레오","가개통/중고","15.49","6.1","IPS-LCD","3120x1440","564","60Hz","19.5:9",\n,\n,\n,"HDR10","스냅드래곤821","쿼드(4)코어","2.34GHz+1.6GHz","Adreno 530",\n,\n,\n,"4GB","64GB","UFS2.0","microSD:최대2TB",\n,"LTE-A Cat.11","802.11 a/b/g/n/ac","v4.2",\n,"나노유심",\n,\n,"1,600만","800만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.9",\n,\n,"○","○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm","모노(1개)","32비트 음원재생",\n,"지문인식(후면)","얼굴인식",\n,\n,"구글 어시스턴트","LG페이",\n,"IP68",\n,"USB타입C","3000",\n,\n,"배터리일체형",\n,"퀵차지3.0",\n,\n,"71.9","153.2","7.9","159"
"105","Q9 One","LM-Q927","lg",\n,"안드로이드9.0 파이","가개통/중고","15.49","6.1","IPS-LCD","3120x1440","564","60Hz","19.5:9",\n,\n,\n,"HDR10","스냅드래곤835","옥타(8)코어","2.35GHz+1.9GHz","Adreno 540",\n,\n,\n,"4GB","64GB","UFS2.1","microSD:최대2TB",\n,"LTE-A Cat.11","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,600만","800만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.6","광학식손떨림보정(OIS)","○","○","○",\n,\n,\n,"○","○",\n,\n,\n,\n,\n,"3.5mm",\n,"32비트 음원재생",\n,"지문인식(후면)","얼굴인식",\n,"지원","구글 어시스턴트",\n,\n,"IP68",\n,"USB타입C","3000",\n,\n,"배터리일체형",\n,"퀵차지3.0",\n,\n,"71.9","153.2","7.9","156"
"106","Q8 2018","LM-Q815","lg",\n,"안드로이드8.0 오레오","가개통/중고","15.75","6.2","IPS-LCD","2160x1080","389","60Hz","18:09","80.80%",\n,\n,\n,"스냅드래곤450","옥타(8)코어","1.8GHz","Adreno 506",\n,\n,\n,"4GB","64GB","eMMC","microSD:최대2TB",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac",\n,\n,"나노유심",\n,\n,"1,600만","500만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,"○","○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm","모노(1개)","24비트 음원재생",\n,"지문인식(후면)",\n,\n,\n,\n,"LG페이","스타일러스 펜 방식","IP68",\n,"USB타입C","3300",\n,\n,"배터리일체형",\n,"퀵차지3.0",\n,\n,"77.7","160.1","8.4","172"
"107","Q8","LGM-X800","lg",\n,"안드로이드8.0 오레오","가개통/중고","15.75","6.2","IPS-LCD","2160x1080","389","60Hz","18:09","80.80%",\n,\n,\n,"스냅드래곤450","옥타(8)코어","1.8GHz","Adreno 506",\n,\n,\n,"4GB","64GB","eMMC","microSD:최대2TB",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac",\n,\n,"나노유심",\n,\n,"1,600만","500만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,"○","○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm","모노(1개)","24비트 음원재생",\n,"지문인식(후면)",\n,\n,\n,\n,"LG페이","스타일러스 펜 방식","IP68",\n,"USB타입C","3300",\n,\n,"배터리일체형",\n,"퀵차지3.0",\n,\n,"77.7","160.1","8.4","172"
"108","Q7","LM-Q720","lg",\n,"안드로이드8.0 오레오","가개통/중고","13.97","5.5","IPS-LCD","2160x1080","442","60Hz","18:09","77.30%",\n,\n,\n,"스냅드래곤450","옥타(8)코어","1.8GHz","Adreno 506",\n,\n,\n,"3GB","32GB",\n,"microSD:최대2TB",\n,"LTE-A Cat.6","802.11 b/g/n","v4.2",\n,"나노유심",\n,\n,"1,300만","500만","1080p(FHD),30fps",\n,\n,\n,\n,"F1.9",\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","모노(1개)","24비트 음원재생",\n,"지문인식(후면)",\n,\n,\n,"구글 어시스턴트","LG페이",\n,\n,\n,"USB타입C","3000",\n,\n,"배터리일체형",\n,"퀵차지3.0",\n,\n,"69.3","143.8","8.4","145"
"109","Q7 Plus","LM-Q725","lg",\n,"안드로이드8.0 오레오","가개통/중고","13.97","5.5","IPS-LCD","2160x1080","442","60Hz","18:09","77.30%",\n,\n,\n,"스냅드래곤450","옥타(8)코어","1.8GHz","Adreno 506",\n,\n,\n,"4GB","64GB",\n,"microSD:최대2TB",\n,"LTE-A Cat.6","802.11 b/g/n","v4.2",\n,"나노유심",\n,\n,"1,600만","500만","1080p(FHD),30fps",\n,\n,\n,\n,"F1.9",\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","모노(1개)","32비트 음원재생",\n,"지문인식(후면)",\n,\n,\n,"구글 어시스턴트","LG페이",\n,\n,\n,"USB타입C","3000",\n,\n,"배터리일체형",\n,"퀵차지3.0",\n,\n,"69.3","143.8","8.4","145"
"110","Q6","LG-X600","lg",\n,"안드로이드7.1 누가","통신사가입-SKT","13.97","5.5","IPS-LCD","2160x1080","442",\n,"18:09","88.20%",\n,\n,\n,"스냅드래곤435","옥타(8)코어","1.4GHz","Adreno 505",\n,\n,\n,"3GB","32GB","eMMC","MicroSD",\n,"LTE-A Cat.7","802.11 b/g/n","v4.2",\n,"나노유심",\n,\n,"1,300만","500만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm","모노(1개)",\n,\n,\n,"얼굴인식",\n,\n,"구글 어시스턴트",\n,\n,\n,\n,"USB타입C","3000",\n,\n,"배터리일체형",\n,\n,\n,\n,"69.3","142.5","8.1","149"
"111","V50 ThinQ","LM-V500","lg",\n,"안드로이드9.0 파이","가개통/중고","16.25","6.4","OLED","3120x1440","537","60Hz","19.5:9","83%",\n,\n,"HDR10","스냅드래곤855","옥타(8)코어","2.84GHz+2.42GHz+1.8GHz","Adreno 640",\n,\n,\n,"6GB","128GB","UFS2.1","microSD:최대2TB","5G NR","LTE-A Cat.18","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,600만+1,200만+1,200만","800만+500만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(듀얼OIS)","○","○","○",\n,"○",\n,\n,"○","○",\n,\n,\n,\n,"3.5mm","스테레오(2개)","32비트 음원재생",\n,"지문인식(후면)","얼굴인식",\n,"지원","구글 어시스턴트","LG페이",\n,"IP68",\n,"USB타입C","4000",\n,\n,"배터리일체형","최대18W","퀵차지3.0","Qi무선충전: 최대15W",\n,"76.1","159.1","8.3","183"
"112","V50s ThinQ","LM-V510","lg",\n,"안드로이드9.0 파이","통신사가입-SKT","16.25","6.4","OLED","2340x1080","403","60Hz","19.5:9","83.30%",\n,\n,"HDR10","스냅드래곤855","옥타(8)코어","2.84GHz+2.42GHz+1.78GHz","Adreno 640",\n,\n,\n,"8GB","256GB",\n,"microSD:최대1TB","5G NR","LTE-A Cat.18","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,300만+1,200만","3,200만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm","스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)",\n,\n,\n,"구글 어시스턴트","LG페이",\n,"IP68",\n,"USB타입C","4000",\n,\n,"배터리일체형","최대21W","퀵차지4.0","Qi무선충전: 최대9W",\n,"75.8","159.3","8.4","192"
"113","V40 ThinQ","LM-V409","lg",\n,"안드로이드8.1 오레오","가개통/중고","16.25","6.4","P-OLED","3120x1440","538","60Hz","19.5:9","77.10%",\n,\n,"돌비비젼+HDR10","스냅드래곤845","옥타(8)코어","2.7GHz+1.7GHz","Adreno 630",\n,\n,\n,"6GB","128GB","UFS2.1","microSD:최대2TB",\n,"LTE-A Cat.18","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,600만+1,200만+1,200만","800만+500만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(OIS)","○","○","○",\n,"○",\n,"○","○","○",\n,\n,\n,\n,"3.5mm","모노(1개)","32비트 음원재생",\n,"지문인식(후면)","얼굴인식",\n,\n,"구글 어시스턴트","LG페이",\n,"IP68",\n,"USB타입C","3300",\n,\n,"배터리일체형","최대18W","퀵차지3.0","Qi무선충전: 최대15W",\n,"75.8","158.7","7.7","169"
"114","V35","LM-V350","lg",\n,"안드로이드8.0 오레오","가개통/중고","15.24","6","P-OLED","2880x1440","537","60Hz","18:09","81.20%",\n,\n,"HDR10","스냅드래곤845","옥타(8)코어","2.7GHz+1.7,GHz","Adreno 630",\n,\n,\n,"6GB","64GB",\n,"microSD:최대512GB",\n,"LTE-A Cat.18","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,600만+1,600만","800만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.6","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○","○","○",\n,"○",\n,\n,\n,"3.5mm","모노(1개)","32비트 음원재생",\n,"지문인식(후면)",\n,\n,\n,\n,"LG페이",\n,"IP68",\n,"USB타입C","3300",\n,\n,"배터리일체형","최대18W","퀵차지3.0","Qi무선충전: 최대15W",\n,"75.4","151.7","7.3","157"
"115","V30","LGM-V300","lg",\n,"안드로이드 7.1 누가","가개통/중고","15.24","6","P-OLED","2880x1440","537",\n,"18:09","81.20%",\n,\n,"HDR10","스냅드래곤 835","옥타(8)코어","2.45GHz+1.9GHz","Adreno 540",\n,\n,\n,"4GB","64GB","UFS2.1","microSD:최대256GB",\n,"LTE-A Cat.16","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,600만+1,300만","500만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.6","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","모노(1개)","32비트 음원재생",\n,"지문인식(후면)","얼굴인식",\n,"지원","구글 어시스턴트","LG페이",\n,"IP68",\n,"USB타입C","3300",\n,\n,"배터리일체형","최대18W","USB PD/퀵차지3.0","Qi무선충전: 최대15W",\n,"75.4","151.7","7.3","158"
