model_code,price
LM-X510S,SKT:363000|KT:363000|LG:363000
LM-G710N,SKT:898700|KT:898700|LG:898700
LM-G710N,SKT:976800|KT:976800|LG:976800
LM-Y110S,SKT:220000|KT:220000|LG:220000
LGM-V300S,SKT:849200
LGM-V300SW,SKT:948200|KT:948200|LG:948200
LM-X410S,SKT:297000|KT:297000|LG:297000
LM-X415SL,SKT:349800|KT:349800|LG:349800
LM-X415SB,SKT:349800|KT:349800|LG:349800
LGM-X401S,SKT:289300|LG:289300
LGM-X100S,SKT:297000|LG:297000
LGM-V300S,SKT:799700|KT:799700|LG:799700
LGM-V300S,SKT:849200|KT:849200|LG:849200
LGM-X600SP,SKT:484000|KT:484000|LG:484000
LG-X600S,SKT:419100|KT:419100|LG:419100
LGM-G600SR,SKT:819500|KT:819500|LG:819500
LGM-G600SP,SKT:957000|KT:957000|LG:957000
LGM-X320S,SKT:319000|KT:319000|LG:319000
LGM-G600S,SKT:899800|KT:899800|LG:899800
LGM-K121S,SKT:319000|KT:319000|LG:319000
LGM-K120S,SKT:253000|KT:253000|LG:253000
LG-F800S,SKT:899800|KT:899800|LG:899800
LG-R200S,SKT:49500|LG:49500
LG-F770S,SKT:275000
LG-F690S,SKT:396000|LG:396000
LG-H791,SKT:242000|KT:33000|LG:242000
LG-F700S,SKT:699600|KT:699600|LG:699600
LG-H791,SKT:398200|KT:379500|LG:398200
LG-F650S,SKT:316800|KT:316800|LG:319000
LG-F720S,SKT:319000|KT:319000|LG:319000
LG-F670S,SKT:275000|KT:275000|LG:275000
LG-F600S,SKT:599500|KT:599500|LG:599500
LG-F610S,SKT:242000|KT:242000
LG-F620S,SKT:319000|KT:399300|LG:319000
LG-F570S,SKT:297000
LG-F540S,SKT:257400|LG:297000
LG-F500S,SKT:599500|KT:154000|LG:599500
LG-F510S,SKT:899800|KT:99000|LG:899800
LG-F520S,SKT:319000|KT:242000|LG:319000
LG-F480S,SKT:297000|KT:55000|LG:99000
LG-F410S,SKT:451000
LG-F460S,SKT:550000|KT:550000|LG:550000
LG-F470S,SKT:352000|KT:99000|LG:352000
LG-W105S,SKT:154000
LG-F400S,SKT:499400|KT:58080|LG:499400
LG-F370S,SKT:259600|KT:198000|LG:259600
LG-F350S,SKT:572000|KT:33000|LG:399300
LG-D821-32,SKT:459800
LG-F340S,SKT:799700|KT:233200|LG:799700
LG-F300S,SKT:643500|KT:154000|LG:297000
LG-F320S,SKT:616000|KT:616000|LG:616000
LG-F260S,SKT:269500
LG-F240S,SKT:399300|KT:399300|LG:399300
LG-F200S,SKT:499400|KT:499400|LG:255200
LG-F180S,SKT:499400|KT:499400|LG:255200
LG-SH840,SKT:264000|KT:264000
LG-SV850,SKT:236500|LG:236500
LG-W281,SKT:451000|KT:451000|LG:451000
LG-W200S,SKT:451000|KT:451000|LG:451000
