site_name,model_name,model_code,maker,lauch,os,sell_type,display_inch,display_centi,panel_type,resolution,ppi,refresh_rate,display_ratio,display_area,display_width,display_height,hdr_standard,ap_type,core_num,core_clock,graphic_core,npu_dsp,sensor_hub,com_modem,system_ram,in_mem,storage_device,out_mem,5G,4G,wifi,bluetooth,satelite,usim_type,dual_usim,cam_type,back_cam,front_cam,video,flash,picture_resol,front_disp_resol,front_video_resol,apecture,cam_char,trem_correction,trem_prevention,cam_flash,hdr_support,auto_hdr,optic_zoom,zio_tag,lazer_auto_focus,auto_focus,out_focus,touch_focus,panorama,tof_sensor,shoot_night_mode,earphone_term,speaker,high_sound_qual_play,sound_tech,fingerprint_recog,face_recog,iris_recog,speech_recog,ai,elec_payment,touch_pen,waterproof,etc,charge_term,battery_storage,battery_type,battery_char,battery_mount_method,charge_support,high_speed_charge,wireless_charge,color,length,width,thickness,weight
다나와,갤럭시코어,SHW-M585,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드10,해외구매-새제품,,13.46cm(5.3인치),TFT-LCD,1480x720,311ppi,60Hz,18.5:9,74.50%,,,,미디어텍MT6739WW,쿼드(4)코어,1.5GHz,PowerVR GE8100,,,,램:1GB,내장:16GB,eMMC5.1,MicroSD,,LTE,802.11 b/g/n,블루투스v5.0,,나노유심,듀얼유심지원,,후면:800만화소,전면:500만화소,"동영상:1080p(FHD),30fps",,,,,F2.2,,,,○,,,,,,○,,,,,,3.5mm,스피커:모노(1개),,,,,,,,,,,,마이크로5핀,"3,000mAh",,,,,,,,가로:67.5mm,세로:141.7mm,두께:8.6mm,무게:150g
다나와,갤럭시코어 Advance,SHW-M570,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드4.2 젤리빈,가개통/중고,,11.93cm(4.7인치),,800x480,198ppi,,,,,,,,듀얼(2)코어,1.2GHz,,,,,램:1GB,내장:8GB,eMMC,MicroSD,,3G,802.11 b/g/n,블루투스v4.0,,마이크로유심,,,후면:500만화소,전면:50만화소,,,,,,,,,,,,,,,,○,,,,,,3.5mm,,,,,,,,,,,,,,"2,000mAh",,,배터리탈착형,,,,,가로:70.5mm,세로:133.3mm,두께:9.7mm,무게:145g
다나와,갤럭시줌2,SM-C115,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드4.4 킷캣,가개통/중고,,12.19cm(4.8인치),AMOLED,1280x720,305ppi,,,,,,,,헥사(6)코어,1.3GHz+1.7GHz,,,,,램:2GB,내장:16GB,eMMC,,,LTE,,,,마이크로유심,,,"후면:2,070만화소",전면:200만화소,,,,,,,,광학식손떨림보정(OIS),○,,,,○,,,,,,,,,3.5mm,,,,,,,,,,,,,,"2,430mAh",,,,,,,,가로:70.8mm,세로:137.5mm,두께:20.2mm,무게:200g
다나와,갤럭시윈,SHV-E500,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드4.2 젤리빈,가개통/중고,,11.68cm(4.6인치),LCD,800x480,150~250ppi,,,,,,,,쿼드(4)코어,1.4GHz,,,,,램:1GB,내장:8GB,eMMC,MicroSD,,LTE,,블루투스v4.0,,마이크로유심,,,후면:500~799만화소,전면:30~49만화소,,,,,,,,,,,,,,,,○,,,,,,3.5mm,,,,,,,,,,,,,,"2,000~2,299mAh",,,배터리탈착형,,,,,가로:50~80mm,세로:100~150mm,두께:7~10mm,무게:150~200g
다나와,갤럭시라운드,SM-G910,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드4.3 젤리빈,가개통/중고,,14.47cm(5.7인치),AMOLED,1920x1080,331~400ppi,,,,,,,,쿼드(4)코어,2.3GHz,,,,,램:3GB,내장:32GB,eMMC,MicroSD,,LTE-A,,블루투스v4.0 apt-X,,,,,"후면:1,200~1,499만화소",전면:200~300만화소,"동영상:1080p(FHD),30fps",,,,,,,,,,,,,,,○,,,,,,3.5mm,,,,,,,,,,,,,마이크로5핀,"2,300~2,999mAh",,,배터리탈착형,,,,,가로:50~80mm,세로:150~200mm,두께:7~10mm,무게:150~200g
다나와,갤럭시골든,SHV-E400,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드4.2 젤리빈,가개통/중고,,9.39cm(3.7인치),AMOLED,800x480,254ppi,,,,,,,,듀얼(2)코어,1.7GHz,,,,,램:2GB,내장:16GB,eMMC,MicroSD,,LTE,802.11 a/b/g/n,블루투스v4.0 apt-X,,,,,후면:800만화소,전면:190만화소,"동영상:1080p(FHD),30fps",,,,,,,,,,,,,,,○,,,,,,3.5mm,,,,,,,,,,,,,,"1,820mAh",,,배터리탈착형,,,,,가로:59.5mm,세로:118mm,두께:15.8mm,무게:179g
다나와,갤럭시메가 6.3,SHV-E310,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드4.2 젤리빈,가개통/중고,,16.00cm(6.3인치),,1280x720,216ppi,,,,,,,,듀얼(2)코어,1.7GHz,,,,,램:1.5GB,내장:16GB,eMMC,MicroSD,,LTE,802.11 a/b/g/n,블루투스v4.0,,마이크로유심,,,후면:800만화소,전면:160만화소,"동영상:1080p(FHD),30fps",,,,,,,,,,○,,,,,○,,,,,,3.5mm,,,,,,,,,,,,,,"3,200mAh",,,배터리탈착형,,,,,가로:88mm,세로:167mm,두께:8mm,무게:205g
다나와,갤럭시팝,SHV-E220,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드4.1 젤리빈,가개통/중고,,11.68cm(4.6인치),AMOLED,1280x720,280~330ppi,,,,,,,,쿼드(4)코어,1.4GHz,,,,,램:2GB,내장:8GB,eMMC,MicroSD,,,,블루투스v4.0 apt-X,,,,,후면:800~999만화소,전면:100~199만화소,"동영상:1080p(FHD),30fps",,,,,,,,,,○,,,,,,,,,,,3.5mm,,,,,,,,,,,,,,"2,000~2,299mAh",,,배터리탈착형,,,,,가로:50~80mm,세로:100~150mm,두께:7~10mm,무게:100~150g
다나와,갤럭시M style,SHW-M340,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드2.3 진저브레드,가개통/중고,,10.16cm(4.0인치),AMOLED,800x480,,,,,,,,,싱글(1)코어,1.0GHz,,,,,램:512MB,내장:4GB,eMMC,MicroSD,,3G,,블루투스v3.0,,,,,후면:300~499만화소,,,,,,,,,,,,,,,,,○,,,,,,3.5mm,,,,,,,,,,,,,,"1,000~1,999mAh",,,배터리탈착형,,,,,가로:50~80mm,세로:100~150mm,두께:7~10mm,무게:100~150g
다나와,갤럭시U,SHW-M130,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드10,해외구매-새제품,,16.51cm(6.5인치),S-AMOLED,2400x1080,407ppi,120Hz,20:09,84.80%,,,HDR10+,스냅드래곤865,옥타(8)코어,2.84GHz+2.42GHz+1.8GHz,Adreno 650,,,,램:8GB,내장:128GB,UFS3.1,microSD:최대1TB,5G NR,LTE-A Cat.19,802.11 a/b/g/n/ac/ax,블루투스v5.0,,나노유심,듀얼유심지원,,"후면:1,200만화소+1,200만화소+800만화소","전면:3,200만화소",동영상:4K@60fps,,,,,F1.8,,광학식손떨림보정(OIS)+전자식손떨림보정(EIS),○,○,,○,○,,,○,,,○,,,,스피커:스테레오(2개),32비트 음원재생,,지문인식(온스크린),,,,빅스비,,,IP68,,USB타입C,"4,500mAh",,,배터리일체형,최대25W,USB PD3.0,Qi무선충전: 최대15W,,가로:74.5mm,세로:159.8mm,두께:8.4mm,무게:190g
다나와,갤럭시진2,SM-A202,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드9.0 파이,가개통/중고,,14.73cm(5.8인치),TFT-LCD,1560x720,296ppi,,19.5:9,80.40%,,,,엑시노스7884,옥타(8)코어,1.6GHz+1.35GHz,Mali G71,,,,램:3GB,내장:32GB,,microSD:최대512GB,,LTE-A Cat.12,802.11 b/g/n,블루투스v5.0,,나노유심,,,"후면:1,300만화소+500만화소",전면:800만화소,"동영상:1080p(FHD),60fps",,,,,F1.9,,,,○,○,,,,,○,,,,,,3.5mm,스피커:모노(1개),,,지문인식,얼굴인식,,,구글 어시스턴트,,,,,USB타입C,"3,000mAh",,,배터리일체형,최대15W,고속충전지원,,,가로:69.5mm,세로:147.2mm,두께:8.3mm,무게:142g
다나와,카카오 리틀프렌즈 폰2,SM-J415-KA,"
삼성전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드9.0 파이,가개통/중고,,14.80cm(5.83인치),PLS-LCD,1560x720,295ppi,60Hz,19.5:9,81.40%,,,,엑시노스7884,옥타(8)코어,1.6GHz+1.35GHz,Mali G71,,,,램:2GB,내장:32GB,,microSD:최대512GB,,LTE-A Cat.12,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,후면:800만화소,전면:800만화소,"동영상:1080p(FHD),30fps",,,,,F1.9,,,,○,○,,,,,○,,,○,,,3.5mm,스피커:모노(1개),,,,,,,,,,,,USB타입C,"3,000mAh",,,배터리일체형,,,,,가로:69.6mm,세로:147.3mm,두께:8.4mm,무게:141g
