pl_id,pl_maker,pl_model_code,pl_name,pl_model_name,나무위키링크단품,,시리즈
114,samsung,SHW-M340,갤럭시M style,GalaxyM style,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20M%20%EC%8A%A4%ED%83%80%EC%9D%BC,,
115,samsung,SHW-M240,갤럭시에이스,GalaxyAce,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%97%90%EC%9D%B4%EC%8A%A4,,
116,samsung,SHW-M130,갤럭시U,GalaxyU,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CU,,
117,samsung,SM-A202,갤럭시진2,GalaxyJean2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20Jean2?from=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%A7%842,,
118,samsung,SM-J415-KA,카카오 리틀프렌즈 폰2,kakao LittleFriends Phone2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J4%2B#s-4.3.1,,
119,samsung,SM-G611,갤럭시 온7 프라임,Galaxy On7 Prime,https://namu.wiki/w/SM-G611,,
121,samsung,SM-B510,삼성 마스터폰 ,Samsung MasterPhone KT 3G,https://namu.wiki/w/%EC%82%BC%EC%84%B1%20%EB%A7%88%EC%8A%A4%ED%84%B0,,
122,samsung,SM-B510,삼성 마스터폰 SKT 3G,Samsung MasterPhone SKT 3G,https://namu.wiki/w/%EC%82%BC%EC%84%B1%20%EB%A7%88%EC%8A%A4%ED%84%B0,,
123,samsung,SM-B510,삼성 마스터폰 LG 3G,Samsung MasterPhone LG 3G,https://namu.wiki/w/%EC%82%BC%EC%84%B1%20%EB%A7%88%EC%8A%A4%ED%84%B0,,
124,lg,LG-F370,F70,F70,https://namu.wiki/w/LG%20F70,,
125,lg,LM-G820,G8 ThinQ,G8 ThinQ,https://namu.wiki/w/LG%20G8%20ThinQ,,
126,lg,LM-G710,G7 ThinQ,G7 ThinQ,https://namu.wiki/w/LG%20G7%20ThinQ,,
127,lg,LM-G710P,G7 ThinQ Plus,G7 ThinQ Plus,https://namu.wiki/w/G7%20ThinQ,,
128,lg,LGM-G600,G6 ThinQ,G6 ThinQ,https://namu.wiki/w/LGM-G600,,
129,lg,LGM-G600P,G6 ThinQ Plus,G6 ThinQ Plus,https://namu.wiki/w/LG%20G6%20ThinQ,,
130,lg,LG-F700,G5,G5,https://namu.wiki/w/LG-F700,,
131,lg,LG-F500,G4,G4,https://namu.wiki/w/LG-F500,,
132,lg,LG-F400,G3,G3,https://namu.wiki/w/LG-F400,,
133,lg,LG-F410,G3 A,G3 A,https://namu.wiki/w/G3%20A,,
134,lg,LG-F470,G3 Beat,G3 Beat,https://namu.wiki/w/LG%20G3%20Beat,,
135,lg,LG-F490,G3 Screen,G3 Screen,https://namu.wiki/w/LG%20G3%20Screen,,
136,lg,LG-F460,G3.Cat6,G3.Cat6,https://namu.wiki/w/LG%20G3,,
137,lg,LG-F320,G2,G2,https://namu.wiki/w/LG-F320,,
138,lg,LG-F350,G Pro2,G Pro2,https://namu.wiki/w/LG%20G%20Pro%202?from=%EC%A7%80%ED%94%84%EB%A1%9C2,,
139,lg,LG-F430,Gx2,Gx2,https://namu.wiki/w/LG%20Gx2,,
140,lg,LG-F310,Gx,Gx,https://namu.wiki/w/LG%20Gx%20%EB%A1%9C%EB%B0%8D,,
141,lg,LG-F510,G Flex2,G Flex2,https://namu.wiki/w/LG%20G%20Flex%202?from=%EC%A7%80%ED%94%8C%EB%A0%89%EC%8A%A4%202,,
142,lg,LG-F340,G Flex,G Flex,https://namu.wiki/w/G%20Flex,,
143,lg,LG-Q720CS,Stylo 5,Stylo 5,,https://namu.wiki/w/LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88#s-2.6,
144,lg,LG-Q720AM,Stylo 5 Plus,Stylo 5 Plus,,https://namu.wiki/w/LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88#s-2.6,
145,lg,LG-MP450,Stylus 3,Stylus 3,,https://namu.wiki/w/LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88#s-2.6,
146,lg,LG-F720,Stylus 2,Stylus 2,https://namu.wiki/w/LG%20Stylus%202,,
147,lg,LG-F560,G 스타일로,G Stylo,https://namu.wiki/w/LG%20G%20Stylo,,
148,lg,LG-D690,G3 Stylus,G3 Stylus,,https://namu.wiki/w/LG%20G3#s-2.4,
149,lg,LG-F670,K10,K10,https://namu.wiki/w/LG%20K10,,
150,lg,LG-F820,U폰,U phone,https://namu.wiki/w/LG%20U%ED%8F%B0,,
151,lg,LG-F620,클래스,LG CLASS,https://namu.wiki/w/LG%20CLASS,,
152,lg,LG-F540,볼트,LG Volt,https://namu.wiki/w/LG%20Volt,,
153,lg,LG-F520,아카,LG AKA,https://namu.wiki/w/LG-F520,,
154,lg,LM-Q925,Q9,Q9,https://namu.wiki/w/LG%20Q9,,
155,lg,LM-Q927,Q9 One,Q9 One,https://namu.wiki/w/Q9%20One,,
156,lg,LM-Q815,Q8 2018,Q8 2018,https://namu.wiki/w/LG%20Q8(2018),,
157,lg,LGM-X800,Q8,Q Stylus Plus,https://namu.wiki/w/LGM-X800,,
158,lg,LMQ710,Q Stylus,Q Stylus,,https://namu.wiki/w/LG%20Q8(2018),
159,lg,LMQ710HS,Q Stylus Alpha,Q Stylus Alpha,,https://namu.wiki/w/LG%20Q8(2018),
160,lg,LM-Q720,Q7,Q7,https://namu.wiki/w/LG%20Q7,,
161,lg,LM-Q725,Q7 Plus,Q7 Plus,https://namu.wiki/w/LG%20Q7?from=LG%20Q7%2B,,
162,lg,LG-X600,Q6,Q6,https://namu.wiki/w/Q6,,
163,lg,LGM-X600,Q6 Plus,Q6 Plus,https://namu.wiki/w/LGM-X600,,
164,lg,LM-V500,V50 ThinQ,V50 ThinQ,https://namu.wiki/w/LG%20V50%20ThinQ,,
165,lg,LM-V510,V50s ThinQ,V50s ThinQ,https://namu.wiki/w/LG%20V50S%20ThinQ,,
166,lg,LM-V409,V40 ThinQ,V40 ThinQ,https://namu.wiki/w/LG%20V40%20ThinQ,,
167,lg,LM-V350,V35,V35,https://namu.wiki/w/LG%20V35%20ThinQ,,
168,lg,LGM-V300S,V30s ThinQ,V30s ThinQ,https://namu.wiki/w/LG%20V30%20ThinQ,,
169,lg,LGM-V300,V30,V30,https://namu.wiki/w/LGM-V300,,
170,lg,LG-F800,V20,V20,https://namu.wiki/w/LG-F800,,
171,lg,LG-F600,V10,V10,https://namu.wiki/w/LG-F600,,
172,lg,LM-X510,X5 2018,X5 2018,https://namu.wiki/w/LG%20X5(2018),,
173,lg,LM-X410,X4,X4,https://namu.wiki/w/LG%20X4,,
174,lg,LM-X415,X4 Plus,X4 Plus,,https://namu.wiki/w/LG%20X4,
175,lg,LM-X625,X6 2019,X6 2019,https://namu.wiki/w/LG%20X6,,
176,lg,LM-X420,X4 2019,X4 2019,https://namu.wiki/w/LG%20X4(2019),,
177,lg,LM-X220,X2 2019,X2 2019,https://namu.wiki/w/LG%20X2(2019),,
178,lg,LM-X210,X2 2018,X2 2018,https://namu.wiki/w/LG%20X2,,
179,lg,LGM-X320,X500,X500,https://namu.wiki/w/LGM-X320,,
180,lg,LGM-X401,X401,X401,https://namu.wiki/w/LG%20X400,,
181,lg,LGM-K121,X400,X400,https://namu.wiki/w/LGM-K121,,
182,lg,LGM-K120,X300,X300,https://namu.wiki/w/LG%20X300,,
183,lg,LG-F750,엑스파워,X Power,https://namu.wiki/w/LG%20X%20Power,,
184,lg,LG-F770,X5,X5,https://namu.wiki/w/LG%20X5,,
185,lg,LG-F740,X스킨,X Skin,https://namu.wiki/w/LG%20X%20Skin,,
186,lg,LG-F690,X캠,X Cam,https://namu.wiki/w/LG%20X%20Cam,,
187,lg,LG-F650,X스크린,X Screen,https://namu.wiki/w/LG%20X%20Screen,,
188,lg,LG-H791,넥서스 5x,Nexus 5x,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A4%205X,,
189,lg,LG-F260,옵티머스 LTE3,Optimus LTE3,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE3,,
190,lg,LG-F610,와인 스마트 재즈,Wine Smart Jazz,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8%20%EC%9E%AC%EC%A6%88,,
191,lg,LG-F480,와인 스마트,Wine Smart,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8,,
192,lg,LG-T480,와인 스마트 3G,Wine Smart 3G,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8,,
193,lg,LM-Y110,LG폴더,LG Folder,https://namu.wiki/w/LG%ED%8F%B4%EB%8D%94,,
194,lg,LGM-X100,스마트폴더,SmartFolder,https://namu.wiki/w/LG%20%EC%8A%A4%EB%A7%88%ED%8A%B8%20%ED%8F%B4%EB%8D%94,,
195,samsung,SM-F907,갤럭시 폴드,Galaxy Fold,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%ED%8F%B4%EB%93%9C,,
196,apple,A2775,아이폰SE(2020),iphoneSE (2020),https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B0SE,,
197,samsung,SM-A805,갤럭시 A80,Galaxy A80,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A80,,
198,samsung,SM-F700,갤럭시 Z플립,Galaxy Z Flip,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20Z%20%ED%94%8C%EB%A6%BD?from=Z%ED%94%8C%EB%A6%BD,,
