모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개 값,카메라 특징,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게
페르소나폰 아카,LG-F520,LG전자,2014. 11,안드로이드 4.4.2 KitKat,,,5,IPS,720 x 1280 픽셀,-,,,,62.26 mm,110.69 mm,,Qualcomm Snapdragon 400 MSM8926,4개 (32 비트),1200 MHz,Qualcomm Adreno 305,,,1.5 GB,16 GB,,미확인,LTE,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,1920 x 1080 (-)30 FPS,LED,3264 x 2448 (8 메가픽셀),1920 x 1080 (2.1 메가픽셀),1920 x 1080 (2.1 메가픽셀)30 FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610 mAh,Li-Ion,분리형,,,,-,,71.9,138.7,9.9,135.5g
Q9,LM-Q925,LG전자,2019. 01,안드로이드 8.1 Oreo,,,6.1,IPS,1440 x 3120 픽셀,563 ppi,,,,64.93 mm,140.68 mm,,Qualcomm Snapdragon 821 MSM8996 Pro,8개 (64 비트),2350 MHz,Qualcomm Adreno 530,,,4 GB,64 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,Dual LED,4608 x 3456 (15.9 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,LG Pay,,,,,3000 mAh,Li-Polymer,"급속충전
일체형",,,,-,,71.9,153.2,7.9,159g
Q9 One,LM-Q927,LG전자,2019. 02,안드로이드 8.1 Oreo,,,6.1,IPS,1440 x 3120 픽셀,422 ppi,,,,64.93 mm,140.68 mm,,Qualcomm Snapdragon 835 MSM8998,8개 (64 비트),2450 MHz,Qualcomm Adreno 540,,,4 GB,32 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,LED,4656 x 3492 (16.3 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/1.6,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000 mAh,Li-Polymer,"급속충전
일체형",,,,-,,71.9,153.2,7.9,156g
Q8 2018,LM-Q815,LG전자,2018. 08,안드로이드 8.1 Oreo | 안드로이드 9.0 Pie,,,6.2,IPS,1080 x 2160 픽셀,390 ppi,,,,70.43 mm,140.85 mm,,Qualcomm Snapdragon 450,8개 (64 비트),1800 MHz,Qualcomm Adreno 506,,,4 GB,64 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4608 x 3456 (15.9 메가픽셀),2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀)30 FPS,,,,,,,,,,,,,,,,,,,,,지문인식,,,,,LG Pay,,,,,3300 mAh,Li-Polymer,"급속충전
일체형",,,,-,,77.7,160.1,8.4,172g
Q8,LGM-X800,LG전자,2017. 08,안드로이드 7.0 누가,,,5.2,IPS,1440 x 2560 픽셀,565 ppi,,,,64.75 mm,115.12 mm,,Qualcomm Snapdragon 820 MSM8996,4개 (64 비트),2150 MHz,Qualcomm Adreno 530,,,4 GB,32 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,Dual LED,4160 x 3120 (13 메가픽셀),2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀)30 FPS,F/1.8,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000 mAh,Li-Ion,"급속충전
일체형",,,,-,,71.9,149,8,146g
Q7,LM-Q720,LG전자,2018. 06,안드로이드 8.0 Oreo,,,5.5,IPS,1080 x 2160 픽셀,439 ppi,,,,62.48 mm,124.95 mm,,Qualcomm Snapdragon 450,8개 (64 비트),1800 MHz,Qualcomm Adreno 506,,,3 GB,32 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4160 x 3120 (13 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000 mAh,Li-Polymer,"급속충전
일체형",,,,-,,69.3,143.8,8.4,145g
Q7,LM-Q725,LG전자,2018. 06,안드로이드 8.0 Oreo,,,5.5,IPS,1080 x 2160 픽셀,439 ppi,,,,62.48 mm,124.95 mm,,Qualcomm Snapdragon 450,8개 (64 비트),1800 MHz,Qualcomm Adreno 506,,,3 GB,32 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4160 x 3120 (13 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000 mAh,Li-Polymer,"급속충전
일체형",,,,-,,69.3,143.8,8.4,145g
Q6,LG-X600,LG전자,2017. 08,안드로이드 7.1.1 누가 | 안드로이드 8.1 Oreo,,,5.5,IPS,1080 x 2160 픽셀,439 ppi,,,,62.48 mm,124.95 mm,,Qualcomm Snapdragon 435 MSM8940,8개 (64 비트),1400 MHz,Qualcomm Adreno 505,,,3 GB,32 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4160 x 3120 (13 메가픽셀),2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000 mAh,Li-Polymer,일체형,,,,-,,69.3,142.5,8.1,149g
Q6,LGM-X600,LG전자,2017. 08,안드로이드 7.1.1 누가 | 안드로이드 8.1 Oreo,,,5.5,IPS,1080 x 2160 픽셀,439 ppi,,,,62.48 mm,124.95 mm,,Qualcomm Snapdragon 435 MSM8940,8개 (64 비트),1400 MHz,Qualcomm Adreno 505,,,3 GB,32 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4160 x 3120 (13 메가픽셀),2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000 mAh,Li-Polymer,일체형,,,,-,,69.3,142.5,8.1,149g
V50 ThinQ 자급제,LM-V500,LG전자,2019. 05,안드로이드 9.0 Pie,,,6.4,OLED,1440 x 3120 픽셀,537 ppi,,,,68.12 mm,147.6 mm,,Qualcomm Snapdragon 855,8개 (64 비트),2840 MHz,Qualcomm Adreno 640,,,6 GB,128 GB,,미확인,5G,5G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)60 FPS,F/1.5,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,LG Pay,,,,,4000 mAh,Li-Polymer,"급속충전
일체형",,,,무선충전 지원,,76.1,159.2,8.3,183g
