모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개 값,카메라 특징,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게
갤럭시 A8 Star,SM-G885,삼성전자,2018. 07,안드로이드 8.0 Oreo,,,6.3,Super AMOLED,1080 x 2220 픽셀,392 ppi,,,,70 mm,143.9 mm,,Qualcomm Snapdragon 660 MSM8976 Plus,8개 (64 비트),2200 MHz,Qualcomm Adreno 512,,,4 GB,64 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,LED,4608 x 3456 (15.9 메가픽셀),5632 x 4224 (23.8 메가픽셀),5632 x 4224 (23.8 메가픽셀)30 FPS,F/1.7,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3700 mAh,Li-Ion,"급속충전
일체형",,,,-,,77,162.4,7.6,191g
갤럭시 A9 2018 자급제,SM-A920,삼성전자,2018. 12,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6.3,Super AMOLED,1080 x 2220 픽셀,392 ppi,,,,70 mm,143.9 mm,,Qualcomm Snapdragon 660 MSM8976 Plus,8개 (64 비트),2200 MHz,Qualcomm Adreno 512,,,6 | 8 GB,128 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,LED,5664 x 4248 (24.1 메가픽셀),5664 x 4248 (24.1 메가픽셀),5664 x 4248 (24.1 메가픽셀)30 FPS,F/1.7,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3800 mAh,Li-Polymer,"급속충전
일체형",,,,-,,77,162.5,7.8,183g
갤럭시 A8 2018,SM-A530,삼성전자,2018. 01,안드로이드 7.1.1 누가 | 안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.6,Super AMOLED,1080 x 2220 픽셀,441 ppi,,,,62.23 mm,127.91 mm,,Samsung Exynos 7 Octa 7885,8개 (64 비트),2200 MHz,ARM Mali-G71,,,4 GB,32 GB / 64 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000 mAh,Li-Ion,"급속충전
일체형",,,,-,,70.6,149.2,8.4,172g
갤럭시 A6 2018,SM-A600,삼성전자,2018. 06,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.6,Super AMOLED,720 x 1480 픽셀,294 ppi,,,,62.23 mm,127.91 mm,,Samsung Exynos 7 Octa 7870,8개 (64 비트),1600 MHz,ARM Mali-T830 MP2,,,3 | 4 GB,32 GB / 64 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000 mAh,Li-Ion,일체형,,,,-,,70.8,149.9,7.7,159g
갤럭시 A7 2018,SM-A750,삼성전자,2018. 10,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6,Super AMOLED,1080 x 2220 픽셀,411 ppi,,,,66.67 mm,137.04 mm,,Samsung Exynos 7 Octa 7885,8개 (64 비트),2200 MHz,ARM Mali-G71,,,4 | 6 GB,64 GB / 128 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,5664 x 4248 (24.1 메가픽셀),5664 x 4248 (24.1 메가픽셀),5664 x 4248 (24.1 메가픽셀)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3300 mAh,Li-Ion,일체형,,,,-,,76.8,159.8,7.5,168g
갤럭시 A5 2017,SM-A520,삼성전자,2017. 01,안드로이드 6.0.1 마시멜로우 | 안드로이드 8.0 Oreo,,,5.2,Super AMOLED,1080 x 1920 픽셀,424 ppi,,,,64.75 mm,115.12 mm,,Samsung Exynos 7 Octa 7880,8개 (64 비트),1900 MHz,ARM Mali-T830 MP3,,,3 GB,32 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4.2,,나노유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000 mAh,Li-Ion,"급속충전
일체형",,,,-,,71.4,146.1,7.9,157g
갤럭시 A8 2016,SM-A810,삼성전자,2016. 10,안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.7,Super AMOLED,1080 x 1920 픽셀,386 ppi,,,,70.98 mm,126.19 mm,,Samsung Exynos 7 Octa 7420,8개 (64 비트),2100 MHz,ARM Mali-T760 MP8,,,3 GB,32 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4608 x 3456 (15.9 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3300 mAh,Li-Ion,"급속충전
일체형",,,,-,,76.8,156.6,7.2,182g
갤럭시 A3 2016,SM-A310,삼성전자,2016. 03,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0 마시멜로우 | 안드로이드 7.0 누가,,,4.7,Super AMOLED,720 x 1280 픽셀,312 ppi,,,,58.53 mm,104.05 mm,,Samsung Exynos 7 Quad 7578,4개 (64 비트),1500 MHz,ARM Mali-T720 MP2,,,1.5 GB,16 GB,,Micro SD,LTE,4G,802.11b/g/n,4.1,,나노유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300 mAh,Li-Polymer,일체형,,,,-,,65.2,134.5,7.3,132g
갤럭시 A5 2016,SM-A510,삼성전자,2016. 01,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0 마시멜로우 | 안드로이드 7.0 누가,,,5.2,Super AMOLED,1080 x 1920 픽셀,424 ppi,,,,64.75 mm,115.12 mm,,Samsung Exynos 7 Octa 7580,8개 (64 비트),1600 MHz,ARM Mali-T720 MP2,,,2 GB,16 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4.1,,나노유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),2576 x 1932 (5 메가픽셀),2576 x 1932 (5 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,2900 mAh,Li-Polymer,"급속충전
일체형",,,,-,,71,144.8,7.3,155g
갤럭시 A7 2016,SM-A710,삼성전자,2016. 01,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0 마시멜로우 | 안드로이드 7.0 누가,,,5.5,Super AMOLED,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Samsung Exynos 7 Octa 7580,8개 (64 비트),1600 MHz,ARM Mali-T720 MP2,,,3 GB,16 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4.1,,나노유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4160 x 3120 (13 메가픽셀),2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3300 mAh,Li-Ion,"급속충전
일체형",,,,-,,74.1,151.5,7.3,172g
갤럭시 A8 2015,SM-A800,삼성전자,2015. 07,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우,,,5.7,Super AMOLED,1080 x 1920 픽셀,386 ppi,,,,70.98 mm,126.19 mm,,Qualcomm Snapdragon 615 MSM8939,8개 (64 비트),1500 MHz,Qualcomm Adreno 405,,,2 GB,16 GB / 32 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,4.1,,나노유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,5312 x 2988 (15.9 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3050 mAh,Li-Ion,일체형,,,,-,,76.8,158,5.9,151g
갤럭시 A5,SM-A500,삼성전자,2015. 01,안드로이드 4.4.4 KitKat | 안드로이드 5.0.2 롤리팝 | 안드로이드 6.0 마시멜로우,,,5,Super AMOLED,720 x 1280 픽셀,294 ppi,,,,62.26 mm,110.69 mm,,Qualcomm Snapdragon 410 MSM8916,4개 (64 비트),1200 MHz,Qualcomm Adreno 306,,,2 GB,16 GB,,미확인,LTE,4G,802.11g/n,4,,나노유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),2560 x 1440 (3.7 메가픽셀),2560 x 1440 (3.7 메가픽셀)FPS,F/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300 mAh,Li-Ion,일체형,,,,-,,69.7,139.3,6.7,123g
갤럭시 A3,SM-A300,삼성전자,2015. 01,안드로이드 4.4.4 KitKat | 안드로이드 5.0 롤리팝,,,4.5,Super AMOLED,540 x 960 픽셀,245 ppi,,,,56.04 mm,99.62 mm,,Qualcomm Snapdragon 410 MSM8916,4개 (64 비트),1200 MHz,Qualcomm Adreno 306,,,1 GB,16 GB,,미확인,LTE,4G,미확인,4,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,3264 x 2448 (8 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)FPS,F/2.4,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900 mAh,Li-Ion,일체형,,,,-,,65.5,130.1,6.9,110.3g
갤럭시 A7,SM-A700,삼성전자,2015. 01,안드로이드 4.4.4 KitKat,,,5.5,Super AMOLED,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Samsung Exynos 5 Octa 5430,8개 (32 비트),1800 MHz,ARM Mali-T628 MP6,,,2 GB,16 GB,,미확인,LTE,4G,802.11g/n,4,,나노유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),2576 x 1920 (5 메가픽셀),2576 x 1920 (5 메가픽셀)30 FPS,F/2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 mAh,Li-Ion,일체형,,,,-,,76.2,151,6.3,150g
갤럭시 A,SHW-M100,삼성전자,2010. 04,Android,,,3.7,AMOLED,480 x 800,252 ppi,,,,mm,mm,,,개 ( 비트),MHz,-,,,384MB,,,Micro SDHC,3G,3G,802.11b/g/n,,,마이크로 USB,,,,,(NTSC)FPS,,(0 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 mAh,,분리형,,,,-,,59.8,119.5,12.5,128g
갤럭시 J2프로,SM-J250,삼성전자,2018. 04,안드로이드 7.1.1 누가,,,5,Super AMOLED,540 x 960 픽셀,220 ppi,,,,62.26 mm,110.69 mm,,Qualcomm Snapdragon 425 MSM8917,4개 (64 비트),1400 MHz,Qualcomm Adreno 308,,,1.5 GB,16 GB,,미확인,LTE,4G,미확인,4.2,,마이크로유심 ,,,,,1920 x 1080 (-)30 FPS,LED,3264 x 2448 (8 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 mAh,Li-Ion,분리형,,,,-,,72.3,143.8,8.4,153g
갤럭시 J3 2017,SM-J330,삼성전자,2017. 08,안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5,PLS,720 x 1280 픽셀,294 ppi,,,,62.26 mm,110.69 mm,,Samsung Exynos 7 Quad 7570,4개 (64 비트),1400 MHz,ARM Mali-T720,,,2 GB,16 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,2592 x 1944 (5 메가픽셀),1600 x 1200 (1.9 메가픽셀),1600 x 1200 (1.9 메가픽셀)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 mAh,Li-Ion,분리형,,,,-,,70.1,140.9,8.7,142g
갤럭시 J5 2017,SM-J530,삼성전자,2017. 07,안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.2,Super AMOLED,720 x 1280 픽셀,282 ppi,,,,64.75 mm,115.12 mm,,Samsung Exynos 7 Octa 7870,8개 (64 비트),1600 MHz,ARM Mali-T830 MP2,,,2 GB,16 GB,,미확인,LTE,4G,미확인,4.1,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000 mAh,Li-Ion,일체형,,,,-,,71.3,146.2,8,160g
갤럭시 J7 2017,SM-J730,삼성전자,2017. 07,안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.5,Super AMOLED,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Samsung Exynos 7 Octa 7870,8개 (64 비트),1600 MHz,ARM Mali-T830 MP2,,,3 GB,16 GB,,미확인,LTE,4G,미확인,4.1,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3600 mAh,Li-Ion,일체형,,,,-,,74.8,152.5,8,181g
갤럭시 J3 2016,SM-J320,삼성전자,2016. 05,안드로이드 5.1.1 롤리팝,,,5,Super AMOLED,720 x 1280 픽셀,294 ppi,,,,62.26 mm,110.69 mm,,Spreadtrum SC9830A,4개 (32 비트),1500 MHz,ARM Mali-400 MP2,,,1.5 GB,8 GB,,Micro SD,LTE,4G,802.11b/g/n,4,,마이크로유심 ,,,,,1280 x 720 (-)30 FPS,LED,3264 x 2448 (8 메가픽셀),1600 x 1200 (1.9 메가픽셀),1600 x 1200 (1.9 메가픽셀)FPS,,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 mAh,Li-Ion,분리형,,,,-,,71,142.3,7.9,138g
갤럭시 J7 2016,SM-J710,삼성전자,2016. 04,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 8.1 Oreo,,,5.5,Super AMOLED,720 x 1280 픽셀,267 ppi,,,,68.49 mm,121.76 mm,,Samsung Exynos 7 Octa 7870,8개 (64 비트),1600 MHz,ARM Mali-T830 MP2,,,2 | 3 GB,16 GB,,Micro SD,LTE,4G,802.11b/g/n,4.1,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,Dual LED,4160 x 3120 (13 메가픽셀),2576 x 1932 (5 메가픽셀),2576 x 1932 (5 메가픽셀)FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300 mAh,Li-Ion,분리형,,,,-,,76,151.7,7.8,170g
갤럭시 J5 2016,SM-J510,삼성전자,2016. 04,안드로이드 5.1 롤리팝 | 안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 7.1.1 누가,,,5.2,Super AMOLED,720 x 1280 픽셀,282 ppi,,,,64.75 mm,115.12 mm,,Qualcomm Snapdragon 410 MSM8916,4개 (64 비트),1200 MHz,Qualcomm Adreno 306,,,2 GB,16 GB,,Micro SD,LTE,4G,802.11b/g/n,4.1,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),2576 x 1932 (5 메가픽셀),2576 x 1932 (5 메가픽셀)FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100 mAh,Li-Ion,분리형,,,,-,,72.3,145.8,8.1,159g
갤럭시 J7,SM-J700,삼성전자,2015. 11,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우,,,5.5,TFT,720 x 1280 픽셀,267 ppi,,,,68.49 mm,121.76 mm,,Qualcomm Snapdragon 615 MSM8939,8개 (64 비트),1400 MHz,Qualcomm Adreno 405,,,1.5 GB,16 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4.1,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000 mAh,Li-Ion,분리형,,,,-,,79.1,152.2,7.9,171g
갤럭시 J6,SM-J600,삼성전자,2018. 07,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.6,Super AMOLED,720 x 1480 픽셀,294 ppi,,,,62.23 mm,127.91 mm,,Samsung Exynos 7 Octa 7870,8개 (64 비트),1600 MHz,ARM Mali-T830 MP2,,,3 | 4 GB,32 GB / 64 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000 mAh,Li-Ion,일체형,,,,-,,70.2,149.3,8.2,154g
갤럭시 J5 센스,SM-J500,삼성전자,2015. 07,안드로이드 5.1 롤리팝,,,5,TFT,720 x 1280 픽셀,294 ppi,,,,62.26 mm,110.69 mm,,Qualcomm Snapdragon 410 MSM8916,4개 (64 비트),1200 MHz,Qualcomm Adreno 306,,,1.5 GB,16 GB,,Micro SD,LTE,4G,802.11b/g/n,4.1,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 mAh,Li-Ion,분리형,,,,-,,73,142,8.5,149g
갤럭시J4+ 자급제,SM-J415,삼성전자,2018. 11,안드로이드 8.1 Oreo | 안드로이드 9.0 Pie,,,6,TFT,720 x 1480 픽셀,274 ppi,,,,66.67 mm,137.04 mm,,Qualcomm Snapdragon 425 MSM8917,4개 (64 비트),1400 MHz,Qualcomm Adreno 308,,,2 | 3 GB,16 GB / 32 GB,,미확인,LTE,4G,미확인,4.1,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4160 x 3120 (13 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300 mAh,Li-Ion,일체형,,,,-,,76.7,161.3,7.9,178g
갤럭시 S10 5G,SM-G977,삼성전자,2019. 03,안드로이드 9.0 Pie,,,6.7,Dynamic AMOLED,1440 x 3040 픽셀,502 ppi,,,,72.85 mm,153.8 mm,,Samsung Exynos 9 9820,8개 (64 비트),MHz,ARM Mali-G76 MP12,,,8 GB,256 GB / 512 GB,,미확인,5G,5G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)60 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3648 x 2736 (10 메가픽셀),3648 x 2736 (10 메가픽셀)30 FPS,F/1.5 - 2.4,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,4500 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,77.1,162.6,7.9,198g
갤럭시 S10e,SM-G970,삼성전자,2019. 03,안드로이드 9.0 Pie,,,5.8,Dynamic AMOLED,1080 x 2280 픽셀,-,,,,63.07 mm,133.14 mm,,Samsung Exynos 9 9820,8개 (64 비트),MHz,ARM Mali-G76 MP12,,,6 | 8 GB,128 GB / 256 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,(-)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3100 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,69.9,142.2,7.9,150g
갤럭시 S10,SM-G973,삼성전자,2019. 03,안드로이드 9.0 Pie,,,6.1,Dynamic AMOLED,1440 x 3040 픽셀,551 ppi,,,,66.33 mm,140.03 mm,,Samsung Exynos 9 9820,8개 (64 비트),MHz,ARM Mali-G76 MP12,,,8 GB,128 GB / 512 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,(-)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3400 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,70.4,149.9,7.8,157g
갤럭시 S10+,SM-G975,삼성전자,2019. 03,안드로이드 9.0 Pie,,,6.3,Dynamic AMOLED,1440 x 3040 픽셀,534 ppi,,,,69.59 mm,146.91 mm,,Samsung Exynos 9 9820,8개 (64 비트),MHz,ARM Mali-G76 MP12,,,8 | 12 GB,128 GB / 512 GB / 1024 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)60 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3648 x 2736 (10 메가픽셀),3648 x 2736 (10 메가픽셀)FPS,F/1.5 - 2.4,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,4100 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,74.1,157.6,7.8,198g
갤럭시 S9,SM-G960,삼성전자,2018. 03,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.8,Super AMOLED,1440 x 2960 픽셀,568 ppi,,,,64.45 mm,132.48 mm,,Samsung Exynos 9 9810,8개 (64 비트),2700 MHz,ARM Mali-G72 MP18,,,4 GB,64 GB / 128 GB / 256 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/1.5 - 2.4,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000 mAh,Li-Polymer,"급속충전
일체형",,,,무선충전 지원,,68.7,147.7,8.5,163g
갤럭시 S9 플러스,SM-G965,삼성전자,2018. 03,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6.2,Super AMOLED,1440 x 2960 픽셀,531 ppi,,,,68.89 mm,141.61 mm,,Samsung Exynos 9 9810,8개 (64 비트),2700 MHz,ARM Mali-G72 MP18,,,6 GB,64 GB / 128 GB / 256 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/1.5 - 2.4,"(광학줌)
손떨림방지 카메라",,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3500 mAh,Li-Polymer,"급속충전
일체형",,,,무선충전 지원,,73.8,158.1,8.5,189g
갤럭시 S8,SM-G950,삼성전자,2017. 04,안드로이드 7.0 누가 | 안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.8,Super AMOLED,1440 x 2960 픽셀,568 ppi,,,,64.45 mm,132.48 mm,,Samsung Exynos 9 Octa 8895,8개 (64 비트),2300 MHz,ARM Mali-G71 MP20,,,4 GB,64 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,5,,나노유심 ,,,,,3840 x 2160 (UHD)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/1.7,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,68.1,148.9,8,155g
갤럭시 S8+,SM-G955,삼성전자,2017. 04,안드로이드 7.0 누가 | 안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6.2,Super AMOLED,1440 x 2960 픽셀,531 ppi,,,,68.89 mm,141.61 mm,,Samsung Exynos 9 Octa 8895,8개 (64 비트),2300 MHz,ARM Mali-G71 MP20,,,4 | 6 GB,64 GB / 128 GB,,Micro SD,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (UHD)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/1.7,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3500 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,73.4,159.5,8.1,173g
갤럭시 S7,SM-G930,삼성전자,2016. 03,안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.1,Super AMOLED,1440 x 2560 픽셀,576 ppi,,,,63.51 mm,112.9 mm,,Samsung Exynos 8 Octa 8890,8개 (64 비트),2300 MHz,ARM Mali-T880 MP12,,,4 GB,32 GB / 64 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,3840 x 2160 (UHD)30 FPS,LED,4032 x 3024 (12.2 메가픽셀),2560 x 1440 (3.7 메가픽셀),2560 x 1440 (3.7 메가픽셀)30 FPS,F/1.7,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,69.6,142.4,7.9,152g
