,original_code,price_code,mintit_code,bunjang_code,joongabi_code
265,LG-F740,16.0,,LG-F740,LG-F740
266,LG-F720,16.0,,LG-F720,LG-F720
267,LG-F690,16.0,,LG-F690,LG-F690
268,LG-F670,,,LG-F670,LG-F670
269,LG-F650,16.0,,LG-F650,LG-F650
270,LG-F620,16.0,,LG-F620,LG-F620
271,LG-F610,4.0,,LG-F610,LG-F610
272,LG-F560,8.0,,LG-F560,LG-F560
273,LG-F540,8.0,,LG-F540,LG-F540
274,LG-F520,16.0,,LG-F520,LG-F520
275,LG-F480,4.0,,LG-F480,LG-F480
276,LG-F370,,,LG-F370,LG-F370
277,LG-H791,16.0,,LG-H791,LG-H791
278,SM-N930,64.0,,,SM-N930
279,SM-A300,16.0,,,SM-A300
280,SHW-M100,8.0,,,SHW-M100
281,SHW-M580,8.0,,,SHW-M580
282,SHW-M340,4.0,,,SHW-M340
283,LGM-G600P,128.0,,,LGM-G600SP
284,LM-V350,64.0,,,LM-V350
285,LM-Y120,8.0,,,LM-Y120
286,LM-Y110,8.0,,,LM-Y110
287,LGM-X100,2.0,,,LGM-X100
288,LG-T480,4.0,,,LG-T480
289,LM-Q925,64.0,,,LM-Q925
290,LM-Q815,32.0,,,LM-Q815
291,LM-Q725,64.0,,,LM-Q725
292,LM-Q720,32.0,,,LM-Q720
293,LM-X210,16.0,,,LM-X210
294,LM-X510,32.0,,,LM-X510
295,LM-X410,16.0,,,LM-X410
296,LM-X415,32.0,,,LM-X415
297,A1387,64.0,,,AIP4S-64G
298,A1387,16.0,,,AIP4S-16G
299,A1387,32.0,,,AIP4S-32G
300,A1387,8.0,,,AIP4S-08G
301,A1332,32.0,,,AIP4-32G
302,A1332,8.0,,,AIP4-08G
303,A1332,16.0,,,AIP4-16G
