pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text,Target,URL
251,SM-A217,갤럭시 A21s,5,삼성인증파트너 쇼마젠시,82wi****,20.09.16.,선물용으로 구매해서 아직 개봉하지 않았지만 선물받으신 분이 만족하셔서 다행입니다. 통신사 앱 깔려있지 않은 자급제폰으로 잘 샀습니다.포장상태 좋고 실링도 잘 되어 있었습니다.,선물용으로 구매해서 아직 개봉하지 않았지만 선물받으신 분이 만족하셔서 다행입니다. 통신사 앱 깔려있지 않은 자급제폰으로 잘 샀습니다.포장상태 좋고 실링도 잘 되어 있었습니다.,https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
251,SM-A217,갤럭시 A21s,5,폰맛집,gloh****,21.03.14.,아직은 업데이트도 잘 되고 사용하기 괜찮습니다.몇 번 떨어뜨렸는데도 고장 없이 쓰고 있어요.만족합니다.,아직은 업데이트도 잘 되고 사용하기 괜찮습니다.몇 번 떨어뜨렸는데도 고장 없이 쓰고 있어요.만족합니다.,https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
251,SM-A217,갤럭시 A21s,5,폰맛집,mysj****,20.12.12.,아이 선물주려고 샀어요. 무척 가볍고 성능이 좋아서 제가 탐이 나네요^^,아이 선물주려고 샀어요. 무척 가볍고 성능이 좋아서 제가 탐이 나네요^^,https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
251,SM-A217,갤럭시 A21s,5,폰맛집,gloh****,21.03.14.,아직까지는 업데이트도 잘 되고 사용하기 괜찮습니다.핸드폰 기본 기능만 사용해서 만족합니다.,아직까지는 업데이트도 잘 되고 사용하기 괜찮습니다.핸드폰 기본 기능만 사용해서 만족합니다.,https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
251,SM-A217,갤럭시 A21s,5,폰맛집,halo****,21.03.18.,아이가 맘에들어해요,아이가 맘에들어해요,https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
251,SM-A217,갤럭시 A21s,3,삼성인증파트너 케이원정보,cs61****,21.03.27.,요즘엔 보급도 잘 나오네 하고 샀는데 그냥 그러네요. 카메라 갯수만 늘렸지 좋은것 같지않고 액정도 lcd라 확실히 별롭니다. 보급형도 최소 a3 시리즈 정도는 사야 삼페도 되고 액,요즘엔 보급도 잘 나오네 하고 샀는데 그냥 그러네요. 카메라 갯수만 늘렸지 좋은것 같지않고 액정도 lcd라 확실히 별롭니다. 보급형도 최소 a3 시리즈 정도는 사야 삼페도 되고 액정도 봐줄만 할 듯 합니다,https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
251,SM-A217,갤럭시 A21s,5,삼성인증파트너 케이원정보,wise****,21.03.09.,어머니 쓰시려고 구입했어요 생각보다 크기가 큰데 화면보기는 좋아요!,어머니 쓰시려고 구입했어요 생각보다 크기가 큰데 화면보기는 좋아요!,https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
251,SM-A217,갤럭시 A21s,5,인터파크,n*w*****,21.03.06.,잘 받았어요~,"부모님 필요하셔서 자급제폰으로 잘 구해했어요~배송은 3일 정도 걸렸구요, 구폰 사용해서 조금 저렴하게 구매했어요~",https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
251,SM-A217,갤럭시 A21s,5,폰맛집,yzin****,21.03.23.,자급제로 꼭 사세요효도폰으로 참 좋아요,자급제로 꼭 사세요효도폰으로 참 좋아요,https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
251,SM-A217,갤럭시 A21s,5,폰맛집,pink****,21.03.18.,자급제사서 유심으로 잘 쓰는중입니다,자급제사서 유심으로 잘 쓰는중입니다,https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
251,SM-A217,갤럭시 A21s,5,폰이요,kyus****,21.03.21.,배송빠르고 문제없이 잘됩니다,배송빠르고 문제없이 잘됩니다,https://search.shopping.naver.com/catalog/23540038490?NaPm=ct%3Dkn9vew0g%7Cci%3D1d0f75ff19696bd83215ee74892fa3edea791bc9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5ed3cc96a5873c3b6e6a2964249b2da238ff398e,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
