,maker,group,code,name,model_name,storage,color_name,hidden,storage_hidden,color_hidden,class_hidden,size,display_inch,display_cm,weight,battery,front_camera,back_camera,price,score,summary,pl_launch
0,삼성전자,,SM-T385K,갤럭시 탭A (2017),갤럭시 탭A (2017),16 GB / 32 GB,,,,,,212.1 x 124.1 x 8.9,,,5000 mAh,갤럭시 탭A (2017),2592 x 1944 (5 메가픽셀),3264 x 2448 (8 메가픽셀),,,,미출시
0,삼성전자,,SM-T385L,갤럭시 탭A (2017),갤럭시 탭A (2017),16 GB / 32 GB,,,,,,212.1 x 124.1 x 8.9,,,5000 mAh,갤럭시 탭A (2017),2592 x 1944 (5 메가픽셀),3264 x 2448 (8 메가픽셀),,,,미출시
0,삼성전자,,SM-T385S,갤럭시 탭A (2017),갤럭시 탭A (2017),16 GB / 32 GB,,,,,,212.1 x 124.1 x 8.9,,,5000 mAh,갤럭시 탭A (2017),2592 x 1944 (5 메가픽셀),3264 x 2448 (8 메가픽셀),,,,미출시
0,삼성전자,,SM-T500,갤럭시 탭 A7 셀룰러,갤럭시 탭 A7 셀룰러,,,,,,,247.6 x 157.4 x 7,10.4,,7040 mAh,갤럭시 탭 A7 셀룰러,(0 메가픽셀),(0 메가픽셀),,,,2020. 09
0,삼성전자,,SM-T505,갤럭시 탭 A7 셀룰러,갤럭시 탭 A7 셀룰러,,,,,,,247.6 x 157.4 x 7,10.4,,7040 mAh,갤럭시 탭 A7 셀룰러,(0 메가픽셀),(0 메가픽셀),,,,2020. 09
0,삼성전자,,SM-T505N,갤럭시 탭 A7 셀룰러,갤럭시 탭 A7 셀룰러,,,,,,,247.6 x 157.4 x 7,10.4,,7040 mAh,갤럭시 탭 A7 셀룰러,(0 메가픽셀),(0 메가픽셀),,,,2020. 09
0,삼성전자,,SM-T510,갤럭시 탭 A 10.1 2019 셀룰러,갤럭시 탭 A 10.1 2019 셀룰러,32 GB,,,,,,245.1 x 149.4 x 7.62,10.1,,6150 mAh,갤럭시 탭 A 10.1 2019 셀룰러,(0 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2019. 05
0,삼성전자,,SM-T515,갤럭시 탭 A 10.1 2019 셀룰러,갤럭시 탭 A 10.1 2019 셀룰러,32 GB,,,,,,245.1 x 149.4 x 7.62,10.1,,6150 mAh,갤럭시 탭 A 10.1 2019 셀룰러,(0 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2019. 05
0,삼성전자,,SM-T515N,갤럭시 탭 A 10.1 2019 셀룰러,갤럭시 탭 A 10.1 2019 셀룰러,32 GB,,,,,,245.1 x 149.4 x 7.62,10.1,,6150 mAh,갤럭시 탭 A 10.1 2019 셀룰러,(0 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2019. 05
0,삼성전자,,SM-T520,갤럭시 탭 프로 10.1,갤럭시 탭 프로 10.1,16 GB / 32 GB,,,,,,243.1 x 171.4 x 7.3,10.1,,8220 mAh,갤럭시 탭 프로 10.1,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2014.
