,모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개 값,카메라 특징,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게
0,갤럭시 A90 5G,SM-A908,삼성전자,2019. 09,안드로이드 9.0 Pie,,,6.7,Super AMOLED,1080 x 2400 픽셀,393 ppi,,,,69.84 mm,155.19 mm,,Qualcomm Snapdragon 855,8개 (64 비트),2840 MHz,Qualcomm Adreno 640,,,6 | 8 GB,128 GB,,미확인,5G,,미확인,5.0,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갤럭시 A90 5G,,,,,,,,76.4 x 164.8 x 8.4,,,4500 mAh
0,X6 2019,SM-A505,LG전자,2019. 06,안드로이드 8.1 Oreo,,,6.26,IPS,720 x 1520 픽셀,269 ppi,,,,68.07 mm,143.7 mm,,MediaTek Helio P22 (MT6762),8개 (64 비트),2000 MHz,PowerVR GE8320,,,3 GB,64 GB,,미확인,,,미확인,5.0,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X6 2019,,,,,,,,77 x 161.3 x 8.7,,,3500 mAh
0,갤럭시 A40,SM-A405,삼성전자,2019. 07,안드로이드 9.0 Pie,,,5.9,Super AMOLED,1080 x 2340 픽셀,437 ppi,,,,62.8 mm,136.07 mm,,Samsung Exynos 7 Octa 7904,8개 (64 비트),1800 MHz,ARM Mali-G71 MP2,,,4 GB,64 GB,,미확인,,,미확인,5.0,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갤럭시 A40,,,,,,,,69.2 x 144.4 x 7.9,,,3100 mAh
0,갤럭시 A30,SM-A305,삼성전자,2019. 04,안드로이드 9.0 Pie,,,6.4,Super AMOLED,1080 x 2340 픽셀,403 ppi,,,,68.12 mm,147.6 mm,,Samsung Exynos 7 Octa 7904,8개 (64 비트),1800 MHz,ARM Mali-G71 MP2,,,3 | 4 GB,32 GB / 64 GB,,미확인,,,미확인,5.0,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갤럭시 A30,,,,,,,,74.7 x 158.5 x 7.7,,,4000 mAh
0,갤럭시 와이드4,SM-A205,삼성전자,2019. 05,안드로이드 9.0 Pie,,,,Super AMOLED,720 x 1560 픽셀,-,,,,68.12 mm,147.6 mm,,Samsung Exynos 7 Octa 7884,8개 (64 비트),1600 MHz,ARM Mali-G71,,,3 GB,32 GB,,미확인,,,미확인,5.0,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갤럭시 와이드4,,,,,,,,74.7 x 158.4 x 7.8,,,4000 mAh
0,갤럭시 A9프로,SM-G887,삼성전자,2019. 01,안드로이드 8.1 Oreo | 안드로이드 9.0 Pie,,,6.4,IPS,1080 x 2340 픽셀,403 ppi,,,,68.12 mm,147.6 mm,,Qualcomm Snapdragon 710,8개 (64 비트),2200 MHz,Qualcomm Adreno 616,,,6 GB,128 GB,,미확인,,,미확인,5.0,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갤럭시 A9프로,,,,,,,,74.9 x 158.4 x 7.4,,,3400 mAh
0,갤럭시 A8 Star,SM-G885,삼성전자,2018. 07,안드로이드 8.0 Oreo,,,6.3,Super AMOLED,1080 x 2220 픽셀,392 ppi,,,,70 mm,143.9 mm,,Qualcomm Snapdragon 660 MSM8976 Plus,8개 (64 비트),2200 MHz,Qualcomm Adreno 512,,,4 GB,64 GB,,미확인,,,미확인,5.0,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갤럭시 A8 Star,,,,,,,,77 x 162.4 x 7.6,,,3700 mAh
0,갤럭시 A9 2018 자급제,SM-A920,삼성전자,2018. 12,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6.3,Super AMOLED,1080 x 2220 픽셀,392 ppi,,,,70 mm,143.9 mm,,Qualcomm Snapdragon 660 MSM8976 Plus,8개 (64 비트),2200 MHz,Qualcomm Adreno 512,,,6 | 8 GB,128 GB,,미확인,,,미확인,5.0,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갤럭시 A9 2018 자급제,,,,,,,,77 x 162.5 x 7.8,,,3800 mAh
0,갤럭시 A8 2018,SM-A530,삼성전자,2018. 01,안드로이드 7.1.1 누가 | 안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.6,Super AMOLED,1080 x 2220 픽셀,441 ppi,,,,62.23 mm,127.91 mm,,Samsung Exynos 7 Octa 7885,8개 (64 비트),2200 MHz,ARM Mali-G71,,,4 GB,32 GB / 64 GB,,미확인,,,미확인,5.0,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갤럭시 A8 2018,,,,,,,,70.6 x 149.2 x 8.4,,,3000 mAh
0,갤럭시 A6 2018,SM-A600,삼성전자,2018. 06,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.6,Super AMOLED,720 x 1480 픽셀,294 ppi,,,,62.23 mm,127.91 mm,,Samsung Exynos 7 Octa 7870,8개 (64 비트),1600 MHz,ARM Mali-T830 MP2,,,3 | 4 GB,32 GB / 64 GB,,미확인,,,미확인,4.2,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갤럭시 A6 2018,,,,,,,,70.8 x 149.9 x 7.7,,,3000 mAh
