,모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,통신모뎀,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개값,카메라 특징,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게,타겟제품
0,X2 2019,X2 2019,"
LG전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드9.0 파이,가개통/중고,,13.84cm(5.45인치),,1440x720,295ppi,60Hz,,,,,,스냅드래곤425,쿼드(4)코어,1.4GHz,,,,,램:2GB,내장:32GB,eMMC,microSD:최대2TB,,LTE Cat.4,Wi-Fi,블루투스,,나노유심,,,"후면:1,300만화소",전면:500만화소,,,,,,,,,,○,,,,,,○,,,,,,,,,,,,,,구글 어시스턴트,,,,,,"3,000mAh",,,배터리일체형,,,,,가로:71.5mm,세로:147mm,두께:8.2mm,무게:147g,"LG전자 X2 2019 32GB, 공기계 (가개통/중고)"
0,X2 2018,X2 2018,"
LG전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드7.1.2 누가,가개통/중고,,12.70cm(5.0인치),IPS-LCD,1280x720,294ppi,60Hz,5:3,,,,,스냅드래곤212,쿼드(4)코어,1.3GHz,Adreno 304,,,,램:2GB,내장:16GB,,MicroSD,,LTE Cat.4,802.11 b/g/n,블루투스v4.2,,나노유심,,,후면:800만화소,전면:500만화소,,,,,,,,,,○,,,,,,○,,,,,,,스피커:모노(1개),,,,,,,,,,,,마이크로5핀,"2,500mAh",,,배터리탈착형,,,,,가로:73.2mm,세로:146.6mm,두께:8.2mm,무게:152g,"LG전자 X2 2018 16GB, 공기계 (가개통/중고)"
0,X500,X500,"
LG전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드9.0 파이,가개통/중고,,13.84cm(5.45인치),,1440x720,295ppi,60Hz,,,,,,스냅드래곤425,쿼드(4)코어,1.4GHz,,,,,램:2GB,내장:32GB,eMMC,microSD:최대2TB,,LTE Cat.4,Wi-Fi,블루투스,,나노유심,,,"후면:1,300만화소",전면:500만화소,,,,,,,,,,○,,,,,,○,,,,,,,,,,,,,,구글 어시스턴트,,,,,,"3,000mAh",,,배터리일체형,,,,,가로:71.5mm,세로:147mm,두께:8.2mm,무게:147g,"LG전자 X2 2019 32GB, 공기계 (가개통/중고)"
0,X401,X401,"
LG전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드 7.0 누가,가개통/중고,,13.46cm(5.3인치),LCD,1280x720,294ppi,,,80.8%,,,,MT6750,옥타(8)코어,1.5GHz,Mali T860,,,,램:2GB,내장:16GB,eMMC,MicroSD,,LTE-A Cat.6,802.11 b/g/n,블루투스v4.2,,나노유심,,,"후면:1,300만화소",전면:500만화소,"동영상:1080p(FHD),30fps",,,,,,,,,○,,,,,,○,,,,,,3.5mm,스피커:모노(1개),,,,,,,,,,,,마이크로5핀,"2,800mAh",,,배터리탈착형,,,,,가로:75.2mm,세로:148.7mm,두께:7.9mm,무게:142g,"LG전자 X401 16GB, 공기계 (가개통/중고)"
0,X400,X400,"
LG전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드7.0 누가,가개통/중고,,13.46cm(5.3인치),IPS-LCD,1280x720,277ppi,,,80.8%,,,,MT6750,옥타(8)코어,1.5GHz,Mali T860,,,,램:2GB,내장:32GB,eMMC,MicroSD,,LTE-A Cat.6,802.11 b/g/n,블루투스v4.2,,나노유심,,,"후면:1,300만화소",전면:500만화소,"동영상:1080p(FHD),30fps",,,,,F2.2,,,,○,○,,,○,,○,,○,,,,3.5mm,스피커:모노(1개),,,지문인식,,,,,,,,,마이크로5핀,"2,800mAh",,,배터리탈착형,,,,,가로:75.2mm,세로:148.7mm,두께:7.9mm,무게:142g,"LG전자 X400 32GB, 공기계 (가개통/중고)"
0,X300,X300,"
LG전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드7.0 누가,가개통/중고,,12.70cm(5.0인치),LCD,1280x720,294ppi,,,78.5%,,,,스냅드래곤425,쿼드(4)코어,1.4GHz,Adreno 308,,,,램:2GB,내장:16GB,eMMC,MicroSD,,LTE Cat.4,802.11 b/g/n,블루투스v4.2,,나노유심,,,"후면:1,300만화소",전면:500만화소,,,,,,F2.2,,,,○,,,,,,○,,,,,,3.5mm,스피커:모노(1개),,,,,,,,,,,,마이크로5핀,"2,500mAh",,,배터리탈착형,,,,,가로:72.1mm,세로:144.8mm,두께:8.09mm,무게:142g,"LG전자 X300 16GB, 공기계 (가개통/중고)"
0,X Power,엑스파워,"
LG전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드7.0 누가,가개통/중고,,13.97cm(5.5인치),IPS-LCD,1280x720,267ppi,,,80.6%,,,,MT6750,옥타(8)코어,1.5GHz,Mali T860,,,,램:2GB,내장:32GB,eMMC,MicroSD,,LTE-A Cat.6,802.11 b/g/n,블루투스v4.2,,나노유심,,,"후면:1,300만화소",전면:500만화소,,,,,,,,,,○,,,,,,○,,,,,,3.5mm,스피커:모노(1개),,,,,,,,,,,,마이크로5핀,"4,500mAh",,,배터리일체형,,,,,가로:78.1mm,세로:154.7mm,두께:8.4mm,무게:164g,"LG전자 X500 32GB, 공기계 (가개통/중고)"
0,X5,X5,"
LG전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드6.0 마쉬멜로우,가개통/중고,,13.97cm(5.5인치),IPS-LCD,1280x720,270ppi,,,,,,,,쿼드(4)코어,1.3GHz,,,,,램:2GB,내장:16GB,eMMC,MicroSD,,LTE,802.11 b/g/n,블루투스v4.2,,,,,"후면:1,300만화소",전면:500만화소,"동영상:1080p(FHD),30fps",,,,,,,,,○,○,,,○,,○,,○,,,,3.5mm,,,,,,,,,,,,,마이크로5핀,"2,800mAh",,,배터리탈착형,,,,,가로:76.9mm,세로:151.6mm,두께:7.2mm,무게:133g,"LG전자 X5 16GB, 공기계 (가개통/중고)"
0,X Skin,X스킨,"
LG전자 (
							제조사 웹사이트 바로가기)
												",,출시OS: 안드로이드6.0 마쉬멜로우,가개통/중고,,12.70cm(5.0인치),,1280x720,293ppi,,,,,,,스냅드래곤210,쿼드(4)코어,1.1GHz,Adreno 304,,,,램:1.5GB,내장:16GB,eMMC,,,LTE Cat.4,,,,,,,후면:800만화소,전면:500만화소,"동영상:720p(HD),30fps",,,,,,,,,○,○,,,○,,○,,○,,,,3.5mm,,,,,,,,,,,,,,"2,100mAh",,,배터리탈착형,,,,,가로:71.4mm,세로:144.8mm,두께:6.9mm,무게:122g,"LG전자 X 스킨 16GB, 공기계 (가개통/중고)"
0,X Cam,X캠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
