,maker,code,name,model_name,storage,size,display_inch,display_cm,weight,battery,front_camera,back_camera,pl_external_storage,pl_launch
0,삼성전자,SM-G970,갤럭시 S10e,갤럭시 S10e,128 GB / 256 GB,69.9 x 142.2 x 7.9,5.8,,150g,3100 mAh,(0 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 03
0,삼성전자,SM-G973,갤럭시 S10,갤럭시 S10,128 GB / 512 GB,70.4 x 149.9 x 7.8,6.1,,157g,3400 mAh,(0 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 03
0,삼성전자,SM-G975,갤럭시 S10+,갤럭시 S10+,128 GB / 512 GB / 1024 GB,74.1 x 157.6 x 7.8,6.3,,198g,4100 mAh,3648 x 2736 (10 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 03
0,삼성전자,SM-G960,갤럭시 S9,갤럭시 S9,64 GB / 128 GB / 256 GB,68.7 x 147.7 x 8.5,5.8,,163g,3000 mAh,3264 x 2448 (8 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2018. 03
0,삼성전자,SM-G965,갤럭시 S9 플러스,갤럭시 S9 플러스,64 GB / 128 GB / 256 GB,73.8 x 158.1 x 8.5,6.2,,189g,3500 mAh,3264 x 2448 (8 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2018. 03
0,삼성전자,SM-G950,갤럭시 S8,갤럭시 S8,64 GB,68.1 x 148.9 x 8,5.8,,155g,3000 mAh,3264 x 2448 (8 메가픽셀),4032 x 3024 (12.2 메가픽셀),Micro SD,2017. 04
0,삼성전자,SM-G955,갤럭시 S8+,갤럭시 S8+,64 GB / 128 GB,73.4 x 159.5 x 8.1,6.2,,173g,3500 mAh,3264 x 2448 (8 메가픽셀),4032 x 3024 (12.2 메가픽셀),Micro SD,2017. 04
0,삼성전자,SM-G930,갤럭시 S7,갤럭시 S7,32 GB / 64 GB,69.6 x 142.4 x 7.9,5.1,,152g,3000 mAh,2560 x 1440 (3.7 메가픽셀),4032 x 3024 (12.2 메가픽셀),Micro SD,2016. 03
0,삼성전자,SM-G935,갤럭시 S7 엣지,갤럭시 S7 엣지,32 GB / 64 GB,72.6 x 150.9 x 7.7,5.5,,157g,3600 mAh,2560 x 1440 (3.7 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2016. 12
0,삼성전자,SM-G928,갤럭시 S6 엣지플러스,갤럭시 S6 엣지플러스,32 GB / 64 GB,75.8 x 154.4 x 6.9,5.7,,153g,3000 mAh,2560 x 1920 (4.9 메가픽셀),5312 x 2988 (15.9 메가픽셀),미확인,2015. 08
