pl_id,pl_maker,pl_group,pl_model_code,pl_name,pl_model_name,pl_storage,pl_color_name,pl_hidden,storage_hidden,color_hidden,class_hidden,pl_color_code,pl_launch,pl_size,pl_display_inch,pl_display_cm,pl_weight,pl_battery,pl_front_camera,pl_back_camera,pl_external_storage,pl_review,pl_price,pl_score
11,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,32|128|256,실버|골드|로즈골드|블랙|제트블랙|RED,0,0|0|0,0|0|0|0|0|0,0|0|0,#e4e4e2|#f7e8dd|#ecc6c1|#2e3034|#2e3034|#b41325,2016.1,77.9 x 158.2 x 7.3,5.5,13.9,188,2900,700만,"1,200만+1,200만 화소 (듀얼)",미지원,이어폰단자가 사라진 아이폰 최초 모델.아이폰8플러스와 성능면에서 차이가 없다. 무선충전이 필요없다면 8 플러스보다는 7 플러스,SKT:821700|KT:699600|LG:858000,
12,apple,apple,A1723,아이폰SE,iphoneSE,16|32|64|128,실버|골드|로즈골드|스페이스 그레이,0,0|0|0|0,0|0|0|0,0|0|0,#e4e4e2|#f7e8dd|#ecc6c1|#262529,2016.05,58.6 x 123.8 x 7.6,4,10.1,113,1642,120만,"1,200만",미지원,"성능은 6s, 디자인은 5s, 4인치의 매력은 현재 진행형. 아직도 64기가 스페이스그레이,실버 컬러는 중고거래가 아직도 뜨겁다.",SKT:330000|KT:569800|LG:536800,
13,apple,apple,A1688,아이폰6s,iphone6s,16|32|64|128,실버|골드|로즈골드|스페이스 그레이,0,0|0|0|0,0|0|0|0,0|0|0,#e4e4e2|#f7e8dd|#ecc6c1|#b1b2b7,2015.1,67.1 x 138.3 x 7.1,4.7,11.93,143,1715,500만,"1,200만",미지원,아직까지 iOS 업데이트 지원범위에 있다는 것이 호재!!!! 여전히 사랑받고 있는 모델,SKT:999900|KT:699600|LG:612700,
14,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,16|32|64|128,실버|골드|로즈골드|스페이스 그레이,0,0|0|0|0,0|0|0|0,0|0|0,#e4e4e2|#f7e8dd|#ecc6c1|#b1b2b7,2015.1,77.9 x 158.2 x 7.3,5.5,13.9,192,2750,500만,"1,200만",미지원,아이폰을 네비게이션 전용으로 사용하는 소비자로 인해 수요가 큼. 내구성은…바지 뒷포켓엔 넣치 마세요 ㅜ ,SKT:610500|KT:799700|LG:678700,
15,apple,apple,A1586,아이폰6,iphone6,16|64|128,실버|골드|스페이스 그레이,0,0|0|0,0|0|0,0|0|0,#e4e4e2|#f7e8dd|#b1b2b7,2014.1,67 x 138.1 x 6.9,4.7,11.93,129,1810,120만,800만,미지원,아이폰 커튼현상 게이트가 존재하는 한 6는 불안하다.  ,SKT:965800|KT:965800|LG:534600,
16,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,16|64|128,실버|골드|스페이스 그레이,0,0|0|0,0|0|0,0|0|0,#e4e4e2|#f7e8dd|#b1b2b7,2014.1,77.9 x 158.2 x 7.3,5.5,13.9,172,2750,120만,800만,미지원,아이폰 커튼현상 게이트가 존재하는 한 6 플러스는 불안하다.  ,SKT:399300|KT:809600|LG:477400,
17,apple,apple,A1530,아이폰5s,iphone5s,16|32|64,실버|골드|스페이스 그레이,0,0|0|0,0|0|0,0|0|0,#e4e4e2|#f7e8dd|#b1b2b7,2013.1,58.6 x 123.8 x 7.6,4,10.1,112,1560,120만,800만,미지원,LG U+ 통신사는 안돼요~ 16기가 5s 아직도 거래가 된다는게 실화? ,SKT:946000|KT:550000,
18,apple,apple,A1532,아이폰5c,iphone5c,8|16|32,그린|화이트|블루|핑크|옐로우,0,0|0|0,0|0|0|0|0,0|0|0,#9dc761|#f3f3f5|#58bbe4|#ee756c|#f1dd60,2013.1,59.2 x 124.4 x 8.97,4,10.1,132,1510,120만,800만,미지원,LG U+ 통신사는 안돼요~애플의 첫 보급형 모델,SKT:396000|KT:396000,
19,apple,apple,A1428,아이폰5,iphone5,16|32|64,블랙|화이트,0,0|0|0,0|0,0|0|0,#2e3034|#f3f3f3,2012.12,58.6 x 123.8 x 7.6,4,10.1,112,1440,120만,800만,미지원,LG U+ 통신사는 안돼요~ 32기가는 중고거래 매물로 종종 나오는 모델~,SKT:484000|KT:484000,
20,apple,apple,A1387,아이폰4s,iphone4s,8|16|32|64,블랙|화이트,0,0|0|0|0,0|0,0|0|0,#2e3034|#f3f3f3,2011.11,58.6 x 115.2 x 9.3,3.54,9,140,1432,300만,800만,미지원,LG U+ 통신사는 안돼요~Apple 30핀 충전단자입니다. 장난으로 구매하진 마세요~ 아직도 신기하게 중고 매물이 있어요,SKT:484000|KT:484000,
21,apple,apple,A1332,아이폰4,iphone4,8|16|32,블랙|화이트,0,0|0|0,0|0,0|0|0,#2e3034|#f3f3f3,2011.03,58.6 x 115.2 x 9.3,3.54,9,137,1420,30만,500만,미지원,출시된지 6년 후인 2016년에 갑자기 20만원에 판매가 되어 언박싱 모델도 거래중. LG U+ 통신사는 안돼요~Apple 30핀 충전단자입니다. 장난으로 구매하진 마세요~ 아직도 중고 매물이 있어요~신기,SKT:814000|KT:484000,
22,samsung,a_series,SM-A908,갤럭시 A90 5G,Galaxy A90 5G,128,블랙|화이트,0,0,0|0,0|0|0,#000000|#FFFFFF,2019.09,76.4 x 164.8 x 8.4,6.7,17.02,206,4500,"3,200만","4,800만+800만+500만 (트리플)","2 TB, 512 GB",방수/방진과 무선충전이 안되는 것 치곤 A시리즈 치곤 비싼 출고가.   ,SKT:550000|KT:550000|LG:550000,
23,samsung,a_series,SM-A505,갤럭시 A50,Galaxy A50,64,블랙|화이트|코랄,0,0,0|0|0,0|0|0,#000000|#FFFFFF|#F2756D,2019.06,74.7 x 158.5 x 7.7,6.4,16.3,166,4000,"2,500만","2,500만+800만+500만 (트리플)","2 TB, 512 GB","넓은 화면, 디스프레이 지문인식, 삼성페이,USB-C타입지원은 Good, 무선충전이 안되는 것은 아쉬움, 학생이나 어르신에게 적합 모델",SKT:429000|KT:429000|LG:429000,
24,samsung,a_series,SM-A405,갤럭시 A40,Galaxy A40,64,블랙|화이트|코랄|블루,0,0,0|0|0|0,0|0|0,#000000|#FFFFFF|#F2756D|#0000ff,2019.07,69.2 x 144.4 x 7.9,5.9,14.99,140,3100,"2,500만","1,600만+500만 (듀얼)","2 TB, 512 GB",갤럭시 A30보다 상위 기기임에 불구하고 Always On Display를 지원하지 않는게 흠. 딱히 나쁘지도 좋은지도 않은 보급형,SKT:399300,
25,samsung,a_series,SM-A305,갤럭시 A30,Galaxy A30,32,블랙|화이트|레드,0,0,0|0|0,0|0|0,#000000|#FFFFFF|#fb0b0c,2019.05,74.7 x 158.5 x 7.7,6.4,16.3,165,4000,"1,600만","1,600만+500만 (듀얼)","2 TB, 256 GB",배터리용량은 큰데 연비가 좋치 않음. 통신비 지원 모델이라 그런지 중고 매물도 많음,SKT:349800|KT:349800|LG:349800,
26,samsung,samsung,SM-A205,갤럭시 와이드4,Galaxy Wide4,32,블랙|골드,0,0,0|0,0|0|0,#000000|#f1d977|,2019.05,74.7 x 158.4 x 7.8,6.4,16.3,169,4000,800만,"1,300만+500만 (듀얼)","2 TB, 512 GB","갤럭시 와이드4로 국내 출시된 모델, 삼성페이가 안되는 모델, 어르신에게 적합한 모델",SKT:209000,
